"Offense",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"All Offenses",2529059,2759103,3208878,3058203,3001863,3172734,3391961,3589795,4009328,4275546,4023754,4099840,4273293,4313209,4432474,4582105,4451274,4561174,4293862,4066837,4023525,3945300,3759528,3741338,3780801,3883795,3969067,3932107,3906175,3831588,3655619,3474965,3421356,3173889,3115383
"Murder and Non-Negligent Manslaughter",9357,10395,10504,9785,8245,8920,9370,9787,11561,12236,12477,13116,12413,13301,12201,11408,10062,9991,8917,7599,6857,6830,7169,6536,6485,6784,6776,6765,6444,6060,5427,5352,5515,5353,5410
"Forcible Rape",14761,15206,16180,16148,17044,17179,17457,17059,17609,17664,16752,17138,16277,15427,14758,14272,13252,12579,11453,10335,9714,9710,9793,8973,8559,8326,7912,7670,7127,6741,6305,6196,5876,"~","~"
"Robbery",84137,92772,94186,90157,85980,84554,91320,86587,93952,106219,104172,106512,106292,107407,104106,102301,90135,76764,67646,61184,59193,59977,58322,59127,58960,64869,70629,71849,73445,70310,62015,59003,57252,53457,53066
"Aggravated Assault",98152,103567,117581,114198,116627,121037,138974,138862,167592,182241,181694,180744,198176,202470,209784,215828,192853,194671,181919,169358,166305,165232,163889,153415,146268,153333,152689,145158,145496,141375,136398,133225,132473,121630,124044
"Burglary",145829,155676,160790,143936,127736,127699,134320,134655,143460,146318,129273,126106,128349,121587,117465,116206,103658,102746,94673,86386,82738,83024,81061,80777,80967,84250,87388,89416,95708,93876,88742,93381,87152,76425,72020
"Larceny-Theft",358084,402017,443505,426190,417459,423128,435137,459455,503228,523938,475490,501159,481916,487604,489908,497265,465849,470288,410769,368049,359013,362365,345192,335942,335193,319462,307855,340463,368782,385862,359084,359697,372377,352758,348406
"Motor Vehicle Theft",40642,39236,38503,36847,38143,43620,55307,63000,82811,94506,82367,82185,79876,79208,77813,73836,68211,63772,56335,58333,59425,57724,56577,54821,51310,51726,47372,42040,36854,29387,24197,22180,21075,19653,21028
"Arson",3950,4144,4786,4375,4124,4382,4410,4364,4889,4348,4363,4193,4317,4369,4604,4535,4327,4562,3964,3791,3709,3972,3665,3443,3234,3397,3511,3471,2995,2749,2523,3017,2749,2434,2194
"Other Assaults",152494,159271,181832,185992,181046,217980,244852,277512,320202,346481,338049,353900,370183,400022,410830,444896,449909,474019,436040,416511,415901,417531,407517,399749,408279,413089,411285,414652,413028,419767,406491,390592,381220,351708,348602
