Jurisdiction,, 1994 ,, 1995 ,, 1996 ,, 1997 ,, 1998 ,, 1999 ,, 2000 ,, 2001 ,, 2002 ,, 2003 ,, 2004 ,, 2005 ,, 2006 ,, 2007 ,, 2008 ,, 2009 ,, 2010 ,, 2011 ,, 2012 ,, 2013 ,, 2014 ,, 2015 ,, 2016 ,,
National Statistics (U.S. Total) ,,       690159 ,,       700174 ,,       704709 ,,       690752 ,,       704964 ,,       712713 ,,       725527 ,,       731147 ,,       753141 ,/*,       773498 ,,       775875 ,,       784354 ,,       798219 ,,       826097 ,/*,       826074 ,/*,       824584 ,,       840824 ,,       855458 ,/*,       858385 ,/*,       849467 ,,       857686 ,,       870526 ,/*,       874777 ,/*,
Federal /1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16 ,,        61430 ,,        59136 ,,        59133 ,,        63406 ,,        66761 ,,        71020 ,,        73328 ,,        78013 ,,        82972 ,,        86459 ,,        89821 ,,        91211 ,,        89438 ,,        92673 ,,        98629 ,,       102242 ,,       105552 ,,       109124 ,,       110739 ,,       111226 ,,       109265 ,,       114471 ,,       114385 ,,
State (Total) ,,       628729 ,,       641038 ,,       645576 ,,       627346 ,,       638203 ,,       641693 ,,       652199 ,,       653134 ,,       670169 ,/*,       687039 ,,       686054 ,,       693143 ,,       708781 ,,       733424 ,/*,       727445 ,/*,       722342 ,,       735272 ,,       746334 ,/*,       747646 ,/*,       738241 ,,       748421 ,,       756055 ,/*,       760392 ,/*,
Alabama /17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42 ,,         6760 ,,         7235 ,,         5213 ,,         4742 ,,         6785 ,,         5005 ,,         5494 ,,         5663 ,,         5309 ,,         6950 ,,         7745 ,,         7252 ,,         8658 ,,         7790 ,,         8042 ,,         8429 ,,         9006 ,,         8601 ,,         8616 ,,         8982 ,,         8097 ,,         8138 ,,         8562 ,,
Alaska /43/17/44/45/46/47/48/49/50/51/52/53/54/55 ,,          678 ,,          459 ,,          553 ,,          752 ,,          492 ,,          493 ,,          507 ,,          522 ,,          508 ,,          927 ,,          951 ,,          973 ,,         1044 ,,         1544 ,,         1732 ,,         1939 ,,         2089 ,,         1777 ,,         1882 ,,         2303 ,,         2210 ,,             ** ,/*,         1812 ,,
Arizona /56/57/58/59/60/61/62/63 ,,         4351 ,,         4109 ,,         3785 ,,         3378 ,,         3742 ,,         3715 ,,         3474 ,,         3536 ,,         7941 ,,         5367 ,,         5671 ,,         6108 ,,         6463 ,,         6807 ,,         7534 ,,         8209 ,,         7993 ,,         7708 ,,         7460 ,,         7636 ,,         7502 ,,         7379 ,,         7500 ,,
Arkansas /17/64/65/66/67/68 ,,         4915 ,,         4855 ,,         5143 ,,         5867 ,,         6371 ,,         7645 ,,         9453 ,,        10301 ,,        11678 ,,        13694 ,,        14844 ,,        16531 ,,        18405 ,,        19388 ,,        19908 ,,        21166 ,,        21106 ,,        22704 ,,        23372 ,,        21709 ,,        21743 ,,        23093 ,,        23792 ,,
California /69/70/71/72/73/74/75/76/77/78/79/80/81/82/83/84/85/86/87/88/89/90/91/92/93/94/95/96/97/98/99/100/101/102/103/104/105/106/107/108/109/110/111 ,,        85084 ,,        91807 ,,        97063 ,,       104409 ,,       110617 ,,       114046 ,,       117647 ,,       117904 ,,       113185 ,,       110338 ,,       110261 ,,       111743 ,,       118592 ,,       123764 ,,       120753 ,,       106035 ,,       105133 ,,       111792 ,,        95925 ,/*,        89549 ,,        87104 ,,        86053 ,,        93598 ,/*,
Colorado /112/113/114/115/116/117/118/119/120/121 ,,         2463 ,,         3024 ,,         3294 ,,         4139 ,,         5204 ,,         5263 ,,         5500 ,,         5733 ,,         6215 ,,         6559 ,,         7383 ,,         8196 ,,         9551 ,,        11086 ,,        11654 ,,        11655 ,,        11014 ,,        10775 ,,        11458 ,,        10846 ,,        10067 ,,        10269 ,,        10186 ,,
Connecticut /17/122/123/124/125/126 ,,         1200 ,,         1233 ,,         1083 ,,          996 ,,         1185 ,,         1526 ,,         1868 ,,         2126 ,,         2255 ,,         2599 ,,         2552 ,,         2571 ,,         2567 ,,         2177 ,,         2328 ,,         2873 ,,         2894 ,,         2561 ,,         2793 ,,         2640 ,,         2564 ,,         2939 ,,         3379 ,,
