Notes,Month Reported,Month Reported Code,State / Territory,State / Territory Code,Event Category,Event Category Code,Events Reported,Percent
,"Jan., 2011",2011/01,Washington,53,None of the above,NONE,1,0.00%
Total,"Jan., 2011",2011/01,Washington,53,,,1,0.00%
Total,"Jan., 2011",2011/01,,,,,1,0.00%
,"Jan., 2020",2020/01,Alaska,2,None of the above,NONE,1,0.00%
Total,"Jan., 2020",2020/01,Alaska,2,,,1,0.00%
,"Jan., 2020",2020/01,Arizona,4,Office Visit *,OF,1,0.00%
Total,"Jan., 2020",2020/01,Arizona,4,,,1,0.00%
,"Jan., 2020",2020/01,California,6,Office Visit *,OF,1,0.00%
,"Jan., 2020",2020/01,California,6,None of the above,NONE,6,0.01%
Total,"Jan., 2020",2020/01,California,6,,,7,0.01%
,"Jan., 2020",2020/01,Colorado,8,None of the above,NONE,1,0.00%
Total,"Jan., 2020",2020/01,Colorado,8,,,1,0.00%
,"Jan., 2020",2020/01,Connecticut,9,Office Visit *,OF,1,0.00%
Total,"Jan., 2020",2020/01,Connecticut,9,,,1,0.00%
,"Jan., 2020",2020/01,Georgia,13,Office Visit *,OF,1,0.00%
Total,"Jan., 2020",2020/01,Georgia,13,,,1,0.00%
,"Jan., 2020",2020/01,Idaho,16,None of the above,NONE,2,0.00%
Total,"Jan., 2020",2020/01,Idaho,16,,,2,0.00%
,"Jan., 2020",2020/01,Illinois,17,Office Visit *,OF,1,0.00%
,"Jan., 2020",2020/01,Illinois,17,None of the above,NONE,1,0.00%
Total,"Jan., 2020",2020/01,Illinois,17,,,2,0.00%
,"Jan., 2020",2020/01,Maine,23,Emergency Room *,ER,1,0.00%
Total,"Jan., 2020",2020/01,Maine,23,,,1,0.00%
,"Jan., 2020",2020/01,Missouri,29,None of the above,NONE,1,0.00%
Total,"Jan., 2020",2020/01,Missouri,29,,,1,0.00%
,"Jan., 2020",2020/01,New Jersey,34,Office Visit *,OF,1,0.00%
Total,"Jan., 2020",2020/01,New Jersey,34,,,1,0.00%
,"Jan., 2020",2020/01,New York,36,Emergency Room *,ER,2,0.00%
Total,"Jan., 2020",2020/01,New York,36,,,2,0.00%
,"Jan., 2020",2020/01,Oregon,41,Emergency Room *,ER,1,0.00%
Total,"Jan., 2020",2020/01,Oregon,41,,,1,0.00%
,"Jan., 2020",2020/01,Texas,48,Emergency Room *,ER,1,0.00%
,"Jan., 2020",2020/01,Texas,48,Office Visit *,OF,2,0.00%
,"Jan., 2020",2020/01,Texas,48,None of the above,NONE,2,0.00%
Total,"Jan., 2020",2020/01,Texas,48,,,5,0.01%
,"Jan., 2020",2020/01,Washington,53,Death,DTH,1,0.00%
,"Jan., 2020",2020/01,Washington,53,None of the above,NONE,1,0.00%
Total,"Jan., 2020",2020/01,Washington,53,,,2,0.00%
,"Jan., 2020",2020/01,Wisconsin,55,None of the above,NONE,1,0.00%
Total,"Jan., 2020",2020/01,Wisconsin,55,,,1,0.00%
