Strike ID,Date,Village/local area,District,Province,Type of attack,Reportedly drone?,US confirmed?,US only source?,"Counter-terrorism, force protection or strategic effects?",Reported target group?,Time,Reported target type,Minimum strikes,Maximum strikes,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,Timeline URL,Index
AFG0001,01/01/15,Unknown,Spera,Khost,US strike,0,1,1,FP,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#77,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#,77
AFG0002,03/01/15,Unknown,Gayan,Paktika,US strike,0,0,0,-,-,Early morning/late evening,Convoy,1,1,18,18,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#3,,3
AFG0003,03/01/15,Unknown,Spera,Khost,US strike,0,1,0,FP,Haqqani,Early morning,Convoy,1,1,7,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#4,,4
AFG0004,06/01/15,Unknown,Dara I Pech,Kunar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#120,,120
AFG0005,07/01/15,Unknown,Unknown,Logar,US strike,1,0,0,-,-,-,-,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#5,,5
AFG0006,08/01/15,Chikanawr,Lal Pura,Nangarhar,US strike,1,0,0,-,Insurgents,Late at night,Compound,1,1,6,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#6,,6
AFG0007,11/01/15,Chikanawr,Lal Pura,Nangarhar,US strike,1,0,0,-,Taliban,Morning,-,1,1,8,8,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#78,,78
AFG0008,16/01/2015,Unknown,Nazyan,Nangarhar,US strike,1,0,1,-,-,-,-,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#7,,7
AFG0009,17/01/2015,Unknown,Lal Pura,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#121,,121
AFG0010,19/01/2015,Unknown,Khugyani,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#122,,122
AFG0011,08/02/15,Azankarez,Kajak,Helmand,US strike,1,1,0,FP,ISIS,-,-,1,1,6,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#1,,1
AFG0012,10/02/15,Unknown,Khas Kunar,Kunar,US strike,1,1,0,FP,Taliban - Khorasan Group / ISIS,-,-,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#8,,8
AFG0013,11/02/15,Unknown,Nazyan,Nangarhar,US strike,0,1,0,FP,TTP,-,Compound,1,1,2,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#9,,9
AFG0014,18/02/2015,Fathi Khani,Khogyani,Nangarhar,US strike,1,0,0,-,Taliban,Afternoon,-,1,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#79,,79
AFG0015,02/03/15,Unknown,Alishir,Khost,US strike,1,0,0,-,-,Unknown,-,1,1,1,1,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#80,,80
AFG0016,10/03/15,Mamond,Achin,Nangarhar,US strike,0,1,0,FP,Taliban,-,Corolla vehicle,1,1,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#81,,81
AFG0017,11/03/15,Unknown,Sarakani,Kunar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#124,,124
AFG0018,13/03/2015,Unknown,Lal Pura,Nangarhar,US strike,1,1,0,FP,Taliban,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#82,,82
