Strike ID,Date,Location,Area,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,,Index
B1,17/06/2004,Wana,South Waziristan,6,8,2,2,2,2,1,1,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B1,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#,1
B2,08/05/05,Toorikhel,North Waziristan,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B2,,2
B3,05/11/05,Mosaki,North Waziristan,8,8,3,8,2,3,1,1,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B3,,3
B4,01/12/05,Haisori,North Waziristan,6,6,2,3,2,2,0,0,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B4,,4
B5,13/01/2006,Damadola,Bajaur Agency,13,22,10,18,5,6,0,0,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B5,,5
B6,30/10/2006,Chenegai,Bajaur Agency,81,83,80,82,68,70,3,3,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B6,,6
B7,16/01/2007,Zamazola,South Waziristan,8,8,8,8,1,1,0,0,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B7,,7
B8,27/04/2007,Saidgai,North Waziristan,3,4,3,4,0,0,3,9,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B8,,8
B9,19/06/2007,Mami Rogha,North Waziristan,20,34,0,34,0,0,10,15,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B9,,9
B10,02/11/07,Danda Darpakhel,North Waziristan,5,10,0,0,0,0,6,12,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B10,,10
B11,03/12/07,Jani Khel,Bannu Frontier Region,0,0,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B11,,11
B12,29/01/2008,Mir Ali,North Waziristan,12,15,4,6,2,3,1,2,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B12,,12
B13,28/02/2008,Azam Warsak,South Waziristan,10,13,0,0,0,0,6,16,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B13,,13
B14,16/03/2008,Dhook Pir Bagh,South Waziristan,18,20,0,4,0,0,5,9,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B14,,14
B15,14/05/2008,Damadola,Bajaur Agency,12,20,4,6,1,4,9,9,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B15,,15
B16,14/06/2008,Makeen,South Waziristan,1,1,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B16,,16
B17,28/07/2008,Zeralita,South Waziristan,7,12,1,5,0,2,3,3,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B17,,17
B18,12/08/08,Bhaggar,South Waziristan,12,25,0,5,0,0,0,4,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B18,,18
B19,20/08/2008,Zari Noor,South Waziristan,6,12,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B19,,19
B20,27/08/2008,Ganki Khel,South Waziristan,0,0,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B20,,20
