,Date,Location,Confirmed/possible US strike,Air strike?,Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured
SOM001,07/01/07,Ras Kamboni,Confirmed,1,0,Air assault - AC-130 Gunship,1,1,8,10,2,2,0,1,1,3
SOM002,09/01/07,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",Confirmed,1,0,Air assault - AC-130 Gunship,1,1,5,10,0,0,0,0,4,5
SOM003,09/01/07,Hayo,Possible,1,0,Air assault - helicopter,1,1,4,31,4,31,0,1,0,0
SOM004,23/01/2007,Waldena,Confirmed,1,0,Air assault - AC-130 GunshipGround operation - capture mission,1,1,8,8,0,0,0,0,0,0
SOM005,01/06/07,Bargal,Confirmed,0,0,Naval operation - USS Chafee shore bombardment,1,1,8,12,0,0,0,0,0,0
SOM006,03/03/08,Dhobley,Confirmed,0,0,Naval operation - cruise missilePossible air operation - AC-130 Gunship,1,1,0,6,0,4,0,0,3,8
SOM007,01/05/08,Dusa Marreb,Confirmed,0,0,Naval operation - cruise missilesPossible air assault - AC-130 Gunship,1,1,8,15,5,10,0,0,0,0
SOM008,14/09/2009,Barawe,Confirmed,1,0,Air operation - helicopterGround assault - body retrieval,1,1,2,6,0,0,0,0,2,2
SOM009,03/04/11,Dhobley,Possible,1,0,Air operation - airstrike,1,1,1,36,0,0,0,0,0,0
SOM010,23/06/2011,Kismayo,Confirmed,1,1,Air operation - drone strikeHelicopter raid,1,1,2,2,0,0,0,0,2,3
SOM011,06/07/11,Juba,Possible,1,1,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM012,25/09/2011,Kismayo,Possible,1,1,Air operation - drone strike,1,1,0,0,0,0,0,0,0,0
SOM013,14/11/2011,Afgoye,Possible,1,1,Air operation - drone strike,1,1,0,2,0,0,0,0,0,0
SOM014,21/01/2012,Elasha Biyaha,Confirmed,1,1,Air operation - drone strike,1,1,1,1,0,0,0,0,0,0
SOM015,24/02/2012,Lower Shabelle,Confirmed,1,1,Air operation - drone strike,1,1,3,7,0,1,0,0,0,0
SOM016,17/04/2012,"Gumh, Puntland",Possible,1,0,Air operation - airstrike,1,1,0,0,0,0,0,0,2,2
SOM017,05/10/13,"Barawe, Shabeellaha Hoose",Confirmed,0,0,Ground operation - amphibious assault,1,1,1,7,0,0,0,0,1,1
SOM018,28/10/2013,"Jillib, Middle Juba",Confirmed,1,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0
SOM019,26/01/2014,"Hawai, Lower Shabelle",Confirmed,1,1,Air operation - drone strike,1,1,2,9,0,2,0,2,0,1
SOM020,01/08/14,"Barawe, Lower Shabelle",Confirmed,1,1,Air operation - drone strike,1,1,6,6,0,0,0,0,0,0
SOM021,29/12/2014,Saakow,Confirmed,1,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0
SOM022,31/01/2015,"Dugule, Lower Shabelle",Possible,1,1,Air operation - drone strike,1,1,40,60,0,0,0,0,0,0
SOM023,31/01/2015,"Dinsoor, Bay Region",Confirmed,1,1,Air operation - drone strike,1,1,2,9,0,4,0,0,0,4
SOM024,12/03/15,"Abaq Xaluul village, Baardheere, Gedo region",Confirmed,1,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0
SOM025,15/07/2015,"Baardheere, Gedo Region",Confirmed,1,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0
SOM026,15/07/2015,"Baardheere, Gedo Region",Confirmed,1,1,Air operation - drone strike,5,5,0,0,0,0,0,0,0,0
SOM027,21/11/2015,"Balad Amin, Lower Shabelle",Confirmed,1,1,Air operation - drone strike,1,1,5,10,0,0,0,0,0,0
SOM028,29/11/2015,"Yasooman, Ceeldheer and Ceel Lahelay villages, Hiraan region",Possible,1,0,Air operation - airstrike,1,1,0,0,0,0,0,0,0,0
SOM029,02/12/15,"Kunyo-Barow, Lower Shabelle",Confirmed,1,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0
SOM030,21/12/2015,"Kuntuwarey district, Lower Shabelle",Confirmed,1,1,Air operation - drone strike,1,1,5,5,0,0,0,0,0,0
SOM031,05/03/16,"Raso Camp, Hiraaan",Confirmed,1,1,Air operation - drone or airstrike,1,1,150,200,0,0,0,0,0,0
SOM032,08/03/16,"Awdhegle, Lower Shabelle",Confirmed,0,0,Ground operation - Joint US-Somali helicopter assault,1,1,19,19,0,0,0,0,0,0
SOM033,31/03/2016,"Jillib, Middle Juba",Confirmed,1,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0
SOM034,01/04/16,Unknown,Confirmed,1,1,Air operation - drone strike,1,1,0,22,0,0,0,0,0,0
SOM035,02/04/16,Unknown,Confirmed,1,1,Air operation - drone strike,1,1,6,6,0,0,0,0,0,0
SOM036,06/04/16,"Jillib, Middle Juba",Confirmed,1,1,Air operation - drone strike,1,1,8,8,0,0,0,0,0,0
SOM037,11/04/16,Lower Juba,Confirmed,1,1,Air operation - drone strike,1,1,8,12,3,3,0,0,0,0
SOM038,12/05/16,"Afgoye, Lower Shabelle",Confirmed,1,1,Air operation - drone strike,1,1,5,5,0,0,0,0,0,0
SOM039,27/05/2016,South-central Somalia,Confirmed,1,1,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0
SOM040,21/06/2016,Southern Somalia,Confirmed,1,1,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0
SOM041,30/08/2016,Near Gobanale,Confirmed,1,1,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,0,0
SOM042,05/09/16,Tortoroow,Confirmed,1,1,Air operation - drone or airstrike,2,2,4,4,0,0,0,0,0,0
SOM043,26/09/2016,"Caba, near Kismayo",Confirmed,1,1,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0
SOM044,28/09/2016,"Galcayo, Galmudug ",Confirmed,1,1,Air operation - drone or airstrike,1,1,10,22,0,2,0,0,3,16
SOM045,07/01/17,Gaduug,Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM046,04/05/17,"Dar es Salam village, Lower Shabelle",Confirmed,0,0,"Ground operation - Somali-led or joint operation, ambushed before reaching target",1,1,4,9,0,0,0,0,0,0
SOM047,11/06/17,"Sakow, Middle Juba region",Confirmed,1,1,Air operation - drone or airstrike,1,1,8,8,0,0,0,0,0,0
SOM048,02/07/17,"Kunyo Barrow, Lower Shabelle",Confirmed,1,1,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0
SOM049,04/07/17,"Luglaw, Jubba region",Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,10,13,0,0,0,0,10,10
SOM050,13/07/2017,"Kunyo Barrow, Lower Shabelle",Confirmed,0,0,Ground operation - US-Somali air assault,1,1,0,0,0,0,0,0,0,0
SOM051,15/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0
