Strike ID,Date,Location,Province,Type of attack,Confirmed/possible US attack?,Air operation?,Drone strike,Minimum number of strikes,Maximum number of strikes,Minimum people killed,Maximum people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum people injured,Maximum people injured,Strike link,
YEM001,03/11/02,Unknown,Marib,Drone strike,Confirmed,1,1,1,1,6,6,0,0,0,0,0,0,YEM001,
YEM002,17/12/2009,Al Majala,Abyan,Cruise missile strike,Confirmed,0,0,1,1,55,58,44,44,21,22,9,9,YEM002,
YEM003,17/12/2009,Arhab,Sanaa,US-Yemen ground operationPossible drone strike,Confirmed,0,0,1,1,0,0,0,0,0,0,0,0,YEM003,
YEM004,24/12/2009,Rafd,Shabwa,AirstrikePossible cruise missile strike,Confirmed,1,0,1,1,30,34,0,0,0,0,0,0,YEM004,
YEM005,12/01/10,Unknown,Shabwa,Yemen ground operationPossible US assistance,Possible,0,0,1,1,1,2,0,0,0,0,0,0,YEM005,
YEM006,15/01/2010,Al Ajashir,Saada,Airstrike,Possible,1,0,1,1,0,6,0,0,0,0,0,0,YEM006,
YEM007,20/01/2010,Erq al Shawan,Marib,Airstrike,Possible,1,0,4,4,2,2,0,0,0,0,0,0,YEM007,
YEM008,31/01/2010,N/A,Across Yemen,US ground operations,Possible,0,0,24,24,0,0,0,0,0,0,0,0,YEM008,
YEM009,14/03/2010,Jeezat al QotnMoudia district,Abyan,Airstrike,Confirmed,1,0,1,1,2,3,0,0,0,0,0,0,YEM009,
YEM010,15/03/2010,Moudia,Abyan,Airstrike,Possible,1,0,1,1,7,20,0,20,0,0,0,0,YEM010,
YEM011,24/05/2010,Unknown,Marib,Airstrike,Confirmed,1,0,1,1,3,4,3,4,0,0,2,3,YEM011,
YEM012,05/05/11,Unknown,Shabwa,Drone strikeAirstrike with US conventional aircraft,Confirmed,1,1,1,1,2,2,0,0,0,0,0,0,YEM012,
