Trends in Number of COVID-19 Vaccinations in the US
Date generated: Fri Aug 13 2021 18:49:53 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,N/A,US,13808,12311,13808,12311,12311,13808,,,1548,1548,1548
Report,N/A,US,,,,,,,0,0,,,
Admin,2020-12-14,US,4012,3919,17820,16230,8115,8910,,,43,1591,795
Report,2020-12-14,US,,,,,,,509,255,,,
Admin,2020-12-15,US,49450,47017,67270,63247,21082,22423,,,110,1701,567
Report,2020-12-15,US,,,,,,,12129,4213,,,
Admin,2020-12-16,US,160833,154217,228103,217464,54366,57025,,,295,1996,499
Report,2020-12-16,US,,,,,,,38996,12909,,,
Admin,2020-12-17,US,273716,264049,501819,481513,96303,100363,,,571,2567,513
Report,2020-12-17,US,,,,,,,75708,25468,,,
Admin,2020-12-18,US,417059,405511,918878,887024,147837,153146,,,783,3350,558
Report,2020-12-18,US,,,,,,,126800,42357,,,
Admin,2020-12-19,US,182895,178140,1101773,1065164,152166,157396,,,896,4246,606
Report,2020-12-19,US,,,,,,,187508,63093,,,
Admin,2020-12-20,US,105669,102918,1207442,1168082,165110,170519,,,607,4853,472
Report,2020-12-20,US,,,,,,,209853,93072,,,
Admin,2020-12-21,US,381640,373844,1589082,1541926,217957,224466,,,981,5834,606
Report,2020-12-21,US,,,,,,,149957,114422,,,
Admin,2020-12-22,US,447799,438674,2036881,1980600,273908,281373,,,2232,8066,909
Report,2020-12-22,US,,,,,,,189722,139792,,,
Admin,2020-12-23,US,569880,558747,2606761,2539347,331698,339808,,,1798,9864,1124
Report,2020-12-23,US,,,,,,,368173,186817,,,
Admin,2020-12-24,US,195076,190042,2801837,2729389,321125,328574,,,785,10649,1154
Report,2020-12-24,US,,,,,,,338436,224350,,,
Admin,2020-12-25,US,12402,12283,2814239,2741672,264950,270765,,,72,10721,1053
Report,2020-12-25,US,,,,,,,336145,254256,,,
Admin,2020-12-26,US,139276,137004,2953515,2878676,259073,264534,,,452,11173,989
Report,2020-12-26,US,,,,,,,156478,249823,,,
Admin,2020-12-27,US,94571,92457,3048086,2971133,257579,262949,,,481,11654,971
Report,2020-12-27,US,,,,,,,61992,228700,,,
Admin,2020-12-28,US,582937,571223,3631023,3542356,285776,291705,,,2619,14273,1205
Report,2020-12-28,US,,,,,,,156220,229595,,,
Admin,2020-12-29,US,711298,693768,4342321,4236124,322218,329348,,,3976,18249,1454
Report,2020-12-29,US,,,,,,,314677,247446,,,
Admin,2020-12-30,US,830379,812909,5172700,5049033,358527,366562,,,6470,24719,2122
Report,2020-12-30,US,,,,,,,441549,257928,,,
Admin,2020-12-31,US,415201,407400,5587901,5456433,389578,398009,,,2489,27208,2365
Report,2020-12-31,US,,,,,,,573278,291477,,,
Admin,2021-01-01,US,65304,61309,5653205,5517742,396581,405566,,,3659,30867,2878
Report,2021-01-01,US,,,,,,,434528,305532,,,
Admin,2021-01-02,US,256927,249120,5910132,5766862,412598,422373,,,2640,33507,3190
Report,2021-01-02,US,,,,,,,290402,324664,,,
Admin,2021-01-03,US,134881,127886,6045013,5894748,417659,428132,,,2306,35813,3451
Report,2021-01-03,US,,,,,,,185279,342276,,,
Admin,2021-01-04,US,641668,585944,6686681,6480692,419762,436522,,,44407,80220,9421
Report,2021-01-04,US,,,,,,,239472,354169,,,
Admin,2021-01-05,US,812653,716520,7499334,7197212,423013,451001,,,86288,166508,21179
Report,2021-01-05,US,,,,,,,337114,357375,,,
Admin,2021-01-06,US,1004880,820636,8504214,8017848,424116,475930,,,169644,336152,44490
Report,2021-01-06,US,,,,,,,600055,380018,,,
Admin,2021-01-07,US,1145406,851772,9649620,8869620,487598,580245,,,274494,610646,83348
Report,2021-01-07,US,,,,,,,730700,402507,,,
Admin,2021-01-08,US,1209360,832687,10858980,9702307,597795,743682,,,355763,966409,133648
Report,2021-01-08,US,,,,,,,870465,464784,,,
Admin,2021-01-09,US,499657,365738,11358637,10068045,614455,778357,,,126367,1092776,151324
Report,2021-01-09,US,,,,,,,790484,536224,,,
Admin,2021-01-10,US,246145,173271,11604782,10241316,620938,794252,,,68241,1161017,160743
Report,2021-01-10,US,,,,,,,727095,613626,,,
Admin,2021-01-11,US,1049688,713568,12654470,10954884,639170,852541,,,317949,1478966,199820
Report,2021-01-11,US,,,,,,,419440,639336,,,
Admin,2021-01-12,US,1230407,901374,13884877,11856258,665578,912220,,,310133,1789099,231798
Report,2021-01-12,US,,,,,,,516858,665014,,,
Admin,2021-01-13,US,1301887,1016965,15186764,12873223,693625,954650,,,267596,2056695,245791
Report,2021-01-13,US,,,,,,,987485,720361,,,
Admin,2021-01-14,US,1292951,1143188,16479715,14016411,735256,975727,,,132325,2189020,225482
Report,2021-01-14,US,,,,,,,1093867,772242,,,
Admin,2021-01-15,US,1241959,1109985,17721674,15126396,774870,980384,,,117372,2306392,191426
Report,2021-01-15,US,,,,,,,956233,784495,,,
Admin,2021-01-16,US,644340,566494,18366014,15692890,803549,1001053,,,70409,2376801,183432
Report,2021-01-16,US,,,,,,,1141043,834574,,,
Admin,2021-01-17,US,299528,255242,18665542,15948132,815259,1008680,,,41259,2418060,179577
