Area,Total,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Number of victim officers,503,72,53,48,49,45,45,52,48,50,41
NORTHEAST,62,8,8,9,5,8,5,5,6,5,3
New England,14,3,2,4,0,1,0,1,1,1,1
Connecticut,3,2,0,0,0,0,0,0,0,1,0
Maine,3,0,1,0,0,0,0,0,1,0,1
Massachusetts,7,1,1,3,0,1,0,1,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,1,0,0,1,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,48,5,6,5,5,7,5,4,5,4,2
New Jersey,16,4,1,1,0,2,3,2,1,2,0
New York,22,1,5,2,3,3,0,2,3,1,2
Pennsylvania,10,0,0,2,2,2,2,0,1,1,0
MIDWEST,78,14,7,3,4,4,6,12,9,11,8
East North Central,51,7,3,3,4,3,4,8,6,8,5
Illinois,18,3,0,1,2,1,1,2,2,3,3
Indiana,5,2,0,0,0,1,0,0,0,1,1
Michigan,11,0,1,0,1,1,2,2,2,2,0
Ohio,11,1,2,1,1,0,0,3,1,1,1
Wisconsin,6,1,0,1,0,0,1,1,1,1,0
West North Central,27,7,4,0,0,1,2,4,3,3,3
Iowa,5,0,1,0,0,0,0,3,0,0,1
Kansas,3,2,0,0,0,0,0,1,0,0,0
Minnesota,2,0,0,0,0,0,0,0,1,0,1
Missouri,13,4,3,0,0,1,2,0,1,2,0
Nebraska,2,0,0,0,0,0,0,0,1,0,1
North Dakota,1,0,0,0,0,0,0,0,0,1,0
South Dakota,1,1,0,0,0,0,0,0,0,0,0
SOUTH,273,39,27,28,31,19,29,24,27,27,22
South Atlantic,112,16,16,14,9,4,12,8,14,13,6
Delaware,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,1,1,0,0,0,0,0,0,0,0,0
Florida,25,4,1,2,1,1,1,4,4,4,3
Georgia,27,3,6,4,2,1,5,2,2,1,1
Maryland,12,3,2,3,0,0,3,1,0,0,0
North Carolina,16,0,4,2,1,1,0,1,0,6,1
South Carolina,13,2,1,0,2,0,2,0,4,1,1
Virginia,17,3,2,3,3,1,1,0,3,1,0
West Virginia,1,0,0,0,0,0,0,0,1,0,0
East South Central,54,6,3,3,7,7,9,1,5,5,8
Alabama,13,0,2,1,3,2,2,0,1,1,1
Kentucky,7,1,0,1,0,0,2,0,1,2,0
Mississippi,15,2,0,0,4,2,2,0,1,2,2
Tennessee,19,3,1,1,0,3,3,1,2,0,5
West South Central,107,17,8,11,15,8,8,15,8,9,8
Arkansas,6,0,0,0,4,0,0,1,1,0,0
Louisiana,24,3,3,2,3,1,2,5,1,3,1
Oklahoma,12,1,0,2,2,2,1,0,2,1,1
Texas,65,13,5,7,6,5,5,9,4,5,6
WEST,85,11,10,8,9,13,5,9,6,6,8
Mountain,37,4,4,6,4,4,2,5,2,1,5
Arizona,12,1,2,1,2,2,0,2,0,0,2
Colorado,11,0,0,4,0,1,2,1,0,1,2
Idaho,0,0,0,0,0,0,0,0,0,0,0
Montana,2,0,1,0,0,0,0,0,0,0,1
Nevada,2,0,0,0,1,0,0,0,1,0,0
New Mexico,5,1,0,0,1,1,0,1,1,0,0
Utah,4,2,0,1,0,0,0,1,0,0,0
Wyoming,1,0,1,0,0,0,0,0,0,0,0
Pacific,48,7,6,2,5,9,3,4,4,5,3
Alaska,1,0,0,0,1,0,0,0,0,0,0
California,38,6,5,0,3,9,2,4,4,4,1
Hawaii,3,0,1,2,0,0,0,0,0,0,0
Oregon,1,0,0,0,0,0,1,0,0,0,0
Washington,5,1,0,0,1,0,0,0,0,1,2
PUERTO RICO AND OTHER OUTLYING AREAS,5,0,1,0,0,1,0,2,0,1,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0
Mariana Islands,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,5,0,1,0,0,1,0,2,0,1,0
U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
