Area,Total,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of victim officers,490,49,45,45,52,48,50,41,46,56,58
NORTHEAST,53,5,8,5,5,6,5,3,2,7,7
New England,12,0,1,0,1,1,1,1,1,4,2
Connecticut,3,0,0,0,0,0,1,0,0,1,1
Maine,3,0,0,0,0,1,0,1,0,1,0
Massachusetts,5,0,1,0,1,0,0,0,1,1,1
New Hampshire,1,0,0,0,0,0,0,0,0,1,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,41,5,7,5,4,5,4,2,1,3,5
New Jersey,11,0,2,3,2,1,2,0,0,0,1
New York,18,3,3,0,2,3,1,2,0,3,1
Pennsylvania,12,2,2,2,0,1,1,0,1,0,3
MIDWEST,76,4,4,6,12,9,11,8,7,9,6
East North Central,51,4,3,4,8,6,8,5,4,5,4
Illinois,18,2,1,1,2,2,3,3,1,3,0
Indiana,6,0,1,0,0,0,1,1,1,1,1
Michigan,13,1,1,2,2,2,2,0,1,0,2
Ohio,10,1,0,0,3,1,1,1,1,1,1
Wisconsin,4,0,0,1,1,1,1,0,0,0,0
West North Central,25,0,1,2,4,3,3,3,3,4,2
Iowa,6,0,0,0,3,0,0,1,0,1,1
Kansas,4,0,0,0,1,0,0,0,1,1,1
Minnesota,3,0,0,0,0,1,0,1,0,1,0
Missouri,9,0,1,2,0,1,2,0,2,1,0
Nebraska,2,0,0,0,0,1,0,1,0,0,0
North Dakota,1,0,0,0,0,0,1,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0
SOUTH,268,31,19,29,24,27,27,22,28,26,35
South Atlantic,109,9,4,12,8,14,13,6,13,14,16
Delaware,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,5,0,0,0,0,0,0,0,0,2,3
Florida,27,1,1,1,4,4,4,3,1,3,5
Georgia,25,2,1,5,2,2,1,1,7,1,3
Maryland,5,0,0,3,1,0,0,0,0,1,0
North Carolina,18,1,1,0,1,0,6,1,2,3,3
South Carolina,17,2,0,2,0,4,1,1,3,4,0
Virginia,11,3,1,1,0,3,1,0,0,0,2
West Virginia,1,0,0,0,0,1,0,0,0,0,0
East South Central,60,7,7,9,1,5,5,8,3,7,8
Alabama,13,3,2,2,0,1,1,1,1,1,1
Kentucky,7,0,0,2,0,1,2,0,0,1,1
Mississippi,17,4,2,2,0,1,2,2,1,2,1
Tennessee,23,0,3,3,1,2,0,5,1,3,5
West South Central,99,15,8,8,15,8,9,8,12,5,11
Arkansas,9,4,0,0,1,1,0,0,1,1,1
Louisiana,19,3,1,2,5,1,3,1,2,1,0
Oklahoma,12,2,2,1,0,2,1,1,2,0,1
Texas,59,6,5,5,9,4,5,6,7,3,9
WEST,88,9,13,5,9,6,6,8,9,13,10
Mountain,37,4,4,2,5,2,1,5,4,5,5
Arizona,13,2,2,0,2,0,0,2,1,4,0
Colorado,9,0,1,2,1,0,1,2,2,0,0
Idaho,1,0,0,0,0,0,0,0,1,0,0
Montana,1,0,0,0,0,0,0,1,0,0,0
Nevada,3,1,0,0,0,1,0,0,0,0,1
New Mexico,9,1,1,0,1,1,0,0,0,1,4
Utah,1,0,0,0,1,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0
Pacific,51,5,9,3,4,4,5,3,5,8,5
Alaska,1,1,0,0,0,0,0,0,0,0,0
California,38,3,9,2,4,4,4,1,2,6,3
Hawaii,1,0,0,0,0,0,0,0,1,0,0
Oregon,2,0,0,1,0,0,0,0,0,1,0
Washington,9,1,0,0,0,0,1,2,2,1,2
PUERTO RICO AND OTHER OUTLYING AREAS,5,0,1,0,2,0,1,0,0,1,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0
Mariana Islands,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,5,0,1,0,2,0,1,0,0,1,0
U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
