Area,Total,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Number of victim officers,,,,,,,,,,,
NORTHEAST,,,,,,,,,,,
New England,,,,,,,,,,,
Connecticut,,0,1,1,0,0,0,0,0,0,1
Maine,,0,0,0,0,0,0,0,0,0,0
Massachusetts,,1,1,0,1,4,1,0,0,0,1
New Hampshire,,0,0,0,0,1,0,0,3,0,0
Rhode Island,,0,0,0,0,1,0,0,0,0,0
Vermont,,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,,,,,,,,,,,
New Jersey,,0,0,0,1,2,3,0,2,0,2
New York,,2,3,4,3,3,2,6,2,3,0
Pennsylvania,,4,2,3,4,1,2,4,0,0,1
MIDWEST,,,,,,,,,,,
East North Central,,,,,,,,,,,
Illinois,,3,2,5,1,1,2,2,1,1,2
Indiana,,0,1,0,4,1,0,0,4,2,1
Michigan,,3,6,0,1,3,1,1,0,2,1
Ohio,,1,1,0,2,2,1,5,4,1,0
Wisconsin,,3,2,0,0,4,1,2,0,2,0
West North Central,,,,,,,,,,,
Iowa,,0,0,0,0,0,0,0,0,0,0
Kansas,,0,1,0,0,0,2,1,1,1,1
Minnesota,,1,2,1,1,2,0,2,1,0,0
Missouri,,2,5,2,0,3,0,1,0,1,1
Nebraska,,1,0,0,1,0,1,0,0,0,0
North Dakota,,0,0,0,1,0,0,1,0,0,0
South Dakota,,0,0,0,0,0,0,0,0,0,0
SOUTH,,,,,,,,,,,
South Atlantic,,,,,,,,,,,
Delaware,,0,0,0,0,0,0,0,0,0,0
District of Columbia,,0,0,0,2,3,2,0,3,2,0
Florida,,7,2,3,3,0,2,4,1,5,0
Georgia,,2,4,2,1,3,2,3,2,2,5
Maryland,,2,0,2,1,0,2,0,1,0,0
North Carolina,,1,4,3,4,2,2,2,5,2,3
South Carolina,,3,2,4,1,1,0,2,2,1,1
Virginia,,1,0,0,1,5,0,0,0,3,1
West Virginia,,0,0,0,1,0,0,0,0,1,0
East South Central,,,,,,,,,,,
Alabama,12,0,0,1,1,3,2,1,2,2,0
Kentucky,,2,1,4,1,0,0,0,1,2,1
Mississippi,,3,1,2,1,3,1,0,5,3,1
Tennessee,,4,3,0,0,1,3,2,3,0,1
West South Central,,,,,,,,,,,
Arkansas,,0,2,1,0,0,3,1,3,1,0
Louisiana,,2,0,3,2,0,3,4,1,0,0
Oklahoma,,1,0,0,1,0,8,1,0,0,2
Texas,,3,10,3,11,3,2,4,3,5,5
WEST,,,,,,,,,,,
Mountain,,,,,,,,,,,
Arizona,,0,2,1,1,1,5,1,1,1,3
Colorado,,0,0,2,0,2,3,0,1,1,0
Idaho,,0,0,1,0,1,0,0,1,1,0
Montana,,2,0,0,0,1,0,0,0,0,0
Nevada,,1,0,0,1,0,2,0,1,1,0
New Mexico,,0,2,0,0,2,0,0,1,0,1
Utah,,0,0,0,1,1,0,0,0,0,0
Wyoming,,0,0,0,0,0,1,0,0,0,0
Pacific,,,,,,,,,,,
Alaska,,0,0,1,0,0,0,1,1,1,1
California,,5,3,6,8,8,11,4,7,7,4
Hawaii,,1,0,0,0,0,0,0,0,0,1
Oregon,,0,0,2,0,0,0,0,1,1,0
Washington,,0,0,0,0,2,1,0,1,1,0
PUERTO RICO AND OTHER OUTLYING AREAS,,,,,,,,,,,
American Samoa,,,,,,,,,,,
Guam,,,,,,,,,,,
Mariana Islands,,,,,,,,,,,
Puerto Rico,,5,7,7,8,9,2,6,5,5,0
U.S. Virgin Islands,,,,,,,,,,,
