Area,Total,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of victim officers,515,27,51,41,66,46,57,48,46,73,60
NORTHEAST,34,2,8,4,4,3,5,1,1,0,6
New England,9,1,1,0,1,0,4,0,0,0,2
Connecticut,3,0,0,0,0,0,1,0,0,0,2
Maine,1,0,0,0,0,0,1,0,0,0,0
Massachusetts,4,1,0,0,1,0,2,0,0,0,0
New Hampshire,1,0,1,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,25,1,7,4,3,3,1,1,1,0,4
New Jersey,2,0,1,0,0,0,0,1,0,0,0
New York,15,1,5,2,1,2,1,0,0,0,3
Pennsylvania,8,0,1,2,2,1,0,0,1,0,1
MIDWEST,96,4,8,5,13,11,12,9,11,12,11
East North Central,63,3,5,3,6,8,8,8,6,9,7
Illinois,15,1,0,1,0,2,2,3,0,5,1
Indiana,12,1,3,0,1,1,2,0,1,1,2
Michigan,12,1,0,0,2,2,1,1,2,1,2
Ohio,17,0,1,1,2,2,2,2,3,2,2
Wisconsin,7,0,1,1,1,1,1,2,0,0,0
West North Central,33,1,3,2,7,3,4,1,5,3,4
Iowa,5,1,0,0,2,1,0,0,0,1,0
Kansas,7,0,1,0,2,0,3,0,1,0,0
Minnesota,3,0,1,1,0,0,0,0,0,1,0
Missouri,13,0,1,0,2,1,1,1,2,1,4
Nebraska,2,0,0,1,0,0,0,0,1,0,0
North Dakota,3,0,0,0,1,1,0,0,1,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0
SOUTH,257,15,17,19,30,24,26,27,24,44,31
South Atlantic,110,5,10,3,13,8,15,7,10,24,15
Delaware,3,0,0,0,0,2,0,0,0,1,0
District of Columbia,3,0,0,0,0,0,0,0,0,2,1
Florida,27,2,4,1,0,3,4,0,2,7,4
Georgia,28,0,2,1,7,1,5,3,0,7,2
Maryland,9,1,0,0,2,1,2,1,0,1,1
North Carolina,13,0,2,0,1,0,1,1,3,3,2
South Carolina,11,0,1,1,1,0,3,0,3,0,2
Virginia,13,1,1,0,2,1,0,2,1,3,2
West Virginia,3,1,0,0,0,0,0,0,1,0,1
East South Central,46,3,0,5,4,1,6,9,3,6,9
Alabama,13,0,0,0,0,0,1,6,2,3,1
Kentucky,10,1,0,2,0,0,2,0,0,1,4
Mississippi,16,2,0,2,1,1,2,2,1,1,4
Tennessee,7,0,0,1,3,0,1,1,0,1,0
West South Central,101,7,7,11,13,15,5,11,11,14,7
Arkansas,12,0,1,1,1,2,0,2,3,1,1
Louisiana,25,1,1,6,4,4,1,1,2,4,1
Oklahoma,6,0,0,0,0,2,1,0,1,1,1
Texas,58,6,5,4,8,7,3,8,5,8,4
WEST,109,6,14,9,17,6,13,9,10,13,12
Mountain,51,1,7,7,8,4,6,1,5,6,6
Arizona,17,0,3,0,2,1,3,0,3,2,3
Colorado,11,0,0,2,2,1,2,0,0,2,2
Idaho,1,0,0,1,0,0,0,0,0,0,0
Montana,2,0,1,0,0,1,0,0,0,0,0
Nevada,7,0,2,1,0,1,0,0,1,1,1
New Mexico,6,0,0,3,2,0,0,0,0,1,0
Utah,7,1,1,0,2,0,1,1,1,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0
Pacific,58,5,7,2,9,2,7,8,5,7,6
Alaska,3,0,2,0,1,0,0,0,0,0,0
California,42,5,5,2,6,2,5,6,2,5,4
Hawaii,3,0,0,0,0,0,1,0,2,0,0
Oregon,2,0,0,0,1,0,0,0,0,1,0
Washington,8,0,0,0,1,0,1,2,1,1,2
PUERTO RICO AND OTHER OUTLYING AREAS,19,0,4,4,2,2,1,2,0,4,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0
Mariana Islands,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,19,0,4,4,2,2,1,2,0,4,0
U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
