"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Iowa"	"19"	"25-29 years"	"25-29"	"2021 Week 18 ending May 08, 2021"	"2021/18"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"25-29 years"	"25-29"	"2021 Week 34 ending August 28, 2021"	"2021/34"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"30-34 years"	"30-34"	"2021 Week 45 ending November 13, 2021"	"2021/45"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 19 ending May 15, 2021"	"2021/19"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 21 ending May 29, 2021"	"2021/21"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 22 ending June 05, 2021"	"2021/22"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 30 ending July 31, 2021"	"2021/30"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 37 ending September 18, 2021"	"2021/37"	13	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 40 ending October 09, 2021"	"2021/40"	12	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 41 ending October 16, 2021"	"2021/41"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 43 ending October 30, 2021"	"2021/43"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 47 ending November 27, 2021"	"2021/47"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2021 Week 48 ending December 04, 2021"	"2021/48"	14	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 03 ending January 23, 2021"	"2021/03"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 12 ending March 27, 2021"	"2021/12"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 13 ending April 03, 2021"	"2021/13"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 14 ending April 10, 2021"	"2021/14"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 16 ending April 24, 2021"	"2021/16"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 17 ending May 01, 2021"	"2021/17"	12	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 21 ending May 29, 2021"	"2021/21"	12	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 23 ending June 12, 2021"	"2021/23"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 34 ending August 28, 2021"	"2021/34"	17	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 35 ending September 04, 2021"	"2021/35"	12	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2021 Week 36 ending September 11, 2021"	"2021/36"	14	Not Applicable	Not Applicable
