Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Alabama,< 1 year,1,2024/04,13
Alabama,< 1 year,1,2024/11,13
Alabama,< 1 year,1,2024/13,10
Alabama,< 1 year,1,2024/20,12
Alabama,< 1 year,1,2024/21,11
Alabama,< 1 year,1,2024/37,15
Alabama,< 1 year,1,2024/38,12
Alabama,< 1 year,1,2024/40,11
Alabama,15-19 years,15-19,2024/03,10
Alabama,15-19 years,15-19,2024/19,10
Alabama,20-24 years,20-24,2024/01,10
Alabama,20-24 years,20-24,2024/02,13
Alabama,20-24 years,20-24,2024/03,14
Alabama,20-24 years,20-24,2024/05,11
Alabama,20-24 years,20-24,2024/07,16
Alabama,20-24 years,20-24,2024/11,12
Alabama,20-24 years,20-24,2024/12,10
Alabama,20-24 years,20-24,2024/18,15
Alabama,20-24 years,20-24,2024/21,10
Alabama,20-24 years,20-24,2024/24,11
Alabama,20-24 years,20-24,2024/25,12
Alabama,20-24 years,20-24,2024/26,11
Alabama,20-24 years,20-24,2024/27,11
Alabama,20-24 years,20-24,2024/29,10
Alabama,20-24 years,20-24,2024/41,11
Alabama,25-29 years,25-29,2024/04,15
Alabama,25-29 years,25-29,2024/09,10
Alabama,25-29 years,25-29,2024/10,12
Alabama,25-29 years,25-29,2024/12,14
Alabama,25-29 years,25-29,2024/13,12
Alabama,25-29 years,25-29,2024/14,17
Alabama,25-29 years,25-29,2024/17,14
Alabama,25-29 years,25-29,2024/18,16
Alabama,25-29 years,25-29,2024/20,11
Alabama,25-29 years,25-29,2024/25,14
Alabama,25-29 years,25-29,2024/28,10
Alabama,25-29 years,25-29,2024/30,10
Alabama,25-29 years,25-29,2024/31,12
Alabama,25-29 years,25-29,2024/32,13
Alabama,25-29 years,25-29,2024/36,10
Alabama,25-29 years,25-29,2024/38,14
Alabama,25-29 years,25-29,2024/39,14
Alabama,25-29 years,25-29,2024/41,14
Alabama,25-29 years,25-29,2024/43,13
