"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 04 ending January 27, 2024 (provisional)"	"2024/04"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 20 ending May 18, 2024 (provisional)"	"2024/20"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 21 ending May 25, 2024 (provisional)"	"2024/21"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 37 ending September 14, 2024 (provisional)"	"2024/37"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 38 ending September 21, 2024 (provisional)"	"2024/38"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2024 Week 40 ending October 05, 2024 (provisional)"	"2024/40"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2024 Week 03 ending January 20, 2024 (provisional)"	"2024/03"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2024 Week 19 ending May 11, 2024 (provisional)"	"2024/19"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 01 ending January 06, 2024 (provisional)"	"2024/01"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 02 ending January 13, 2024 (provisional)"	"2024/02"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 03 ending January 20, 2024 (provisional)"	"2024/03"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 05 ending February 03, 2024 (provisional)"	"2024/05"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 07 ending February 17, 2024 (provisional)"	"2024/07"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 21 ending May 25, 2024 (provisional)"	"2024/21"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 24 ending June 15, 2024 (provisional)"	"2024/24"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 25 ending June 22, 2024 (provisional)"	"2024/25"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 26 ending June 29, 2024 (provisional)"	"2024/26"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 27 ending July 06, 2024 (provisional)"	"2024/27"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 29 ending July 20, 2024 (provisional)"	"2024/29"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2024 Week 41 ending October 12, 2024 (provisional)"	"2024/41"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2024 Week 04 ending January 27, 2024 (provisional)"	"2024/04"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	14	Not Applicable	Not Applicable
