"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Jan., 2018"	"2018/01"	"< 1 year"	"1"	1900	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"1-4 years"	"1-4"	352	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"5-9 years"	"5-9"	230	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"10-14 years"	"10-14"	272	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"15-19 years"	"15-19"	905	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"20-24 years"	"20-24"	1724	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"25-29 years"	"25-29"	2385	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"30-34 years"	"30-34"	2744	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"35-39 years"	"35-39"	3315	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"40-44 years"	"40-44"	3740	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"45-49 years"	"45-49"	6052	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"50-54 years"	"50-54"	9636	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"55-59 years"	"55-59"	15614	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"60-64 years "	"60-64"	20657	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"65-69 years"	"65-69"	24525	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"70-74 years"	"70-74"	28778	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"75-79 years"	"75-79"	31962	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"80-84 years"	"80-84"	36510	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"85-89 years"	"85-89"	41061	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"90-94 years"	"90-94"	34967	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"95-99 years"	"95-99"	16073	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"100+ years"	"100+"	3333	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"< 1 year"	"1"	1657	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"1-4 years"	"1-4"	296	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"5-9 years"	"5-9"	192	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"10-14 years"	"10-14"	259	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"15-19 years"	"15-19"	805	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"20-24 years"	"20-24"	1450	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"25-29 years"	"25-29"	2016	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"30-34 years"	"30-34"	2416	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"35-39 years"	"35-39"	2899	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"40-44 years"	"40-44"	3345	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"45-49 years"	"45-49"	5181	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"50-54 years"	"50-54"	8132	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"55-59 years"	"55-59"	13301	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"60-64 years "	"60-64"	17168	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"65-69 years"	"65-69"	20699	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"70-74 years"	"70-74"	24161	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"75-79 years"	"75-79"	26865	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"80-84 years"	"80-84"	29807	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"85-89 years"	"85-89"	33329	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"90-94 years"	"90-94"	27613	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"95-99 years"	"95-99"	12779	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"100+ years"	"100+"	2622	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"< 1 year"	"1"	1872	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"1-4 years"	"1-4"	327	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"5-9 years"	"5-9"	205	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"10-14 years"	"10-14"	273	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"15-19 years"	"15-19"	831	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"20-24 years"	"20-24"	1645	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"25-29 years"	"25-29"	2244	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"30-34 years"	"30-34"	2654	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"35-39 years"	"35-39"	3103	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"40-44 years"	"40-44"	3642	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"45-49 years"	"45-49"	5584	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"50-54 years"	"50-54"	8728	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"55-59 years"	"55-59"	13871	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"60-64 years "	"60-64"	18677	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"65-69 years"	"65-69"	21768	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"70-74 years"	"70-74"	25211	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"75-79 years"	"75-79"	27937	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"80-84 years"	"80-84"	31139	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"85-89 years"	"85-89"	34484	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"90-94 years"	"90-94"	28952	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"95-99 years"	"95-99"	13024	Not Applicable	Not Applicable
