MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 01 ending January 06, 2018",2018/01,< 1 year,1,358,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,1-4 years,1-4,73,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,5-9 years,5-9,41,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,10-14 years,10-14,60,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,15-19 years,15-19,180,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,20-24 years,20-24,354,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,25-29 years,25-29,480,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,30-34 years,30-34,574,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,35-39 years,35-39,696,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,40-44 years,40-44,766,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,45-49 years,45-49,1246,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,50-54 years,50-54,1970,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,55-59 years,55-59,3217,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,60-64 years ,60-64,4217,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,65-69 years,65-69,4892,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,70-74 years,70-74,5707,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,75-79 years,75-79,6304,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,80-84 years,80-84,7259,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,85-89 years,85-89,8072,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,90-94 years,90-94,6811,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,95-99 years,95-99,3174,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,100+ years,100+,659,Not Applicable,Not Applicable
"2018 Week 01 ending January 06, 2018",2018/01,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 02 ending January 13, 2018",2018/02,< 1 year,1,386,Not Applicable,Not Applicable
"2018 Week 02 ending January 13, 2018",2018/02,1-4 years,1-4,79,Not Applicable,Not Applicable
"2018 Week 02 ending January 13, 2018",2018/02,5-9 years,5-9,59,Not Applicable,Not Applicable
"2018 Week 02 ending January 13, 2018",2018/02,10-14 years,10-14,74,Not Applicable,Not Applicable
"2018 Week 02 ending January 13, 2018",2018/02,15-19 years,15-19,192,Not Applicable,Not Applicable
"2018 Week 02 ending January 13, 2018",2018/02,20-24 years,20-24,378,Not Applicable,Not Applicable
"2018 Week 02 ending January 13, 2018",2018/02,25-29 years,25-29,565,Not Applicable,Not Applicable
