"Notes"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"< 1 year"	"1"	"Alabama"	"01"	405	56739	713.8
	"2018"	"2018"	"< 1 year"	"1"	"Alaska"	"02"	60	10665	562.6
	"2018"	"2018"	"< 1 year"	"1"	"Arizona"	"04"	451	83553	539.8
	"2018"	"2018"	"< 1 year"	"1"	"Arkansas"	"05"	279	36901	756.1
	"2018"	"2018"	"< 1 year"	"1"	"California"	"06"	1909	477320	399.9
	"2018"	"2018"	"< 1 year"	"1"	"Colorado"	"08"	298	66125	450.7
	"2018"	"2018"	"< 1 year"	"1"	"Connecticut"	"09"	147	35113	418.6
	"2018"	"2018"	"< 1 year"	"1"	"Delaware"	"10"	62	10645	582.4
	"2018"	"2018"	"< 1 year"	"1"	"District of Columbia"	"11"	64	9870	648.4
	"2018"	"2018"	"< 1 year"	"1"	"Florida"	"12"	1332	222040	599.9
	"2018"	"2018"	"< 1 year"	"1"	"Georgia"	"13"	888	126952	699.5
	"2018"	"2018"	"< 1 year"	"1"	"Hawaii"	"15"	116	17224	673.5
	"2018"	"2018"	"< 1 year"	"1"	"Idaho"	"16"	109	22348	487.7
	"2018"	"2018"	"< 1 year"	"1"	"Illinois"	"17"	942	147623	638.1
	"2018"	"2018"	"< 1 year"	"1"	"Indiana"	"18"	556	80539	690.3
	"2018"	"2018"	"< 1 year"	"1"	"Iowa"	"19"	191	38291	498.8
	"2018"	"2018"	"< 1 year"	"1"	"Kansas"	"20"	236	36439	647.7
	"2018"	"2018"	"< 1 year"	"1"	"Kentucky"	"21"	315	53557	588.2
	"2018"	"2018"	"< 1 year"	"1"	"Louisiana"	"22"	454	59755	759.8
	"2018"	"2018"	"< 1 year"	"1"	"Maine"	"23"	67	12409	539.9
	"2018"	"2018"	"< 1 year"	"1"	"Maryland"	"24"	432	70843	609.8
	"2018"	"2018"	"< 1 year"	"1"	"Massachusetts"	"25"	290	70787	409.7
	"2018"	"2018"	"< 1 year"	"1"	"Michigan"	"26"	684	110301	620.1
	"2018"	"2018"	"< 1 year"	"1"	"Minnesota"	"27"	342	68566	498.8
	"2018"	"2018"	"< 1 year"	"1"	"Mississippi"	"28"	306	35878	852.9
	"2018"	"2018"	"< 1 year"	"1"	"Missouri"	"29"	460	72258	636.6
	"2018"	"2018"	"< 1 year"	"1"	"Montana"	"30"	55	12099	454.6
	"2018"	"2018"	"< 1 year"	"1"	"Nebraska"	"31"	149	25809	577.3
	"2018"	"2018"	"< 1 year"	"1"	"Nevada"	"32"	217	35781	606.5
	"2018"	"2018"	"< 1 year"	"1"	"New Hampshire"	"33"	43	12217	352.0
	"2018"	"2018"	"< 1 year"	"1"	"New Jersey"	"34"	390	100364	388.6
	"2018"	"2018"	"< 1 year"	"1"	"New Mexico"	"35"	131	23668	553.5
	"2018"	"2018"	"< 1 year"	"1"	"New York"	"36"	974	227883	427.4
	"2018"	"2018"	"< 1 year"	"1"	"North Carolina"	"37"	797	118550	672.3
	"2018"	"2018"	"< 1 year"	"1"	"North Dakota"	"38"	59	10802	546.2
	"2018"	"2018"	"< 1 year"	"1"	"Ohio"	"39"	938	134002	700.0
