Year,Year Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
2018,2018,< 1 year,1,21467,3848208,557.8
2018,2018,1-4 years,1-4,3830,15962067,24
2018,2018,5-9 years,5-9,2330,20195642,11.5
2018,2018,10-14 years,10-14,3120,20879527,14.9
2018,2018,15-19 years,15-19,10380,21097221,49.2
2018,2018,20-24 years,20-24,19774,21873579,90.4
2018,2018,25-29 years,25-29,27461,23561756,116.5
2018,2018,30-34 years,30-34,31383,22136018,141.8
2018,2018,35-39 years,35-39,37617,21563587,174.4
2018,2018,40-44 years,40-44,42763,19714301,216.9
2018,2018,45-49 years,45-49,64873,20747135,312.7
2018,2018,50-54 years,50-54,99964,20884564,478.7
2018,2018,55-59 years,55-59,160963,21940985,733.6
2018,2018,60-64 years ,60-64,213873,20331651,1051.9
2018,2018,65-69 years,65-69,251246,17086893,1470.4
2018,2018,70-74 years,70-74,292532,13405423,2182.2
2018,2018,75-79 years,75-79,321745,9267066,3471.9
2018,2018,80-84 years,80-84,353460,6127308,5768.6
2018,2018,85-89 years,85-89,385116,Not Applicable,Not Applicable
2018,2018,90-94 years,90-94,320069,Not Applicable,Not Applicable
2018,2018,95-99 years,95-99,144846,Not Applicable,Not Applicable
2018,2018,100+ years,100+,30249,Not Applicable,Not Applicable
2018,2018,Not Stated,NS,144,Not Applicable,Not Applicable
2018,2018,,,2839205,327167434,867.8
2019,2019,< 1 year,1,20921,3783052,553
2019,2019,1-4 years,1-4,3676,15793631,23.3
2019,2019,5-9 years,5-9,2333,20195895,11.6
2019,2019,10-14 years,10-14,3164,20798268,15.2
2019,2019,15-19 years,15-19,10258,21054570,48.7
2019,2019,20-24 years,20-24,19513,21632940,90.2
2019,2019,25-29 years,25-29,26969,23509016,114.7
2019,2019,30-34 years,30-34,32209,22431305,143.6
2019,2019,35-39 years,35-39,38638,21737521,177.7
2019,2019,40-44 years,40-44,44348,19921623,222.6
2019,2019,45-49 years,45-49,63739,20397751,312.5
2019,2019,50-54 years,50-54,96654,20477151,472
2019,2019,55-59 years,55-59,158453,21877391,724.3
2019,2019,60-64 years ,60-64,216484,20571146,1052.4
2019,2019,65-69 years,65-69,254412,17455001,1457.5
2019,2019,70-74 years,70-74,301147,14028432,2146.7
2019,2019,75-79 years,75-79,329493,9652665,3413.5
2019,2019,80-84 years,80-84,358534,6317207,5675.5
2019,2019,85-89 years,85-89,378916,Not Applicable,Not Applicable
2019,2019,90-94 years,90-94,317483,Not Applicable,Not Applicable
2019,2019,95-99 years,95-99,146616,Not Applicable,Not Applicable
2019,2019,100+ years,100+,30731,Not Applicable,Not Applicable
2019,2019,Not Stated,NS,147,Not Applicable,Not Applicable
2019,2019,,,2854838,328239523,869.7
2020,2020,< 1 year,1,19582,3735010,524.3
2020,2020,1-4 years,1-4,3529,15566282,22.7
2020,2020,5-9 years,5-9,2210,20237711,10.9
2020,2020,10-14 years,10-14,3413,20754423,16.4
2020,2020,15-19 years,15-19,12278,20960929,58.6
2020,2020,20-24 years,20-24,23538,21594755,109
2020,2020,25-29 years,25-29,32696,23231243,140.7
2020,2020,30-34 years,30-34,40790,22838403,178.6
2020,2020,35-39 years,35-39,48081,21828304,220.3
2020,2020,40-44 years,40-44,56409,20307888,277.8
2020,2020,45-49 years,45-49,76431,19970606,382.7
2020,2020,50-54 years,50-54,114711,20395527,562.4
2020,2020,55-59 years,55-59,183228,21603099,848.2
2020,2020,60-64 years ,60-64,257321,20800578,1237.1
2020,2020,65-69 years,65-69,306388,17873667,1714.2
2020,2020,70-74 years,70-74,368119,14675731,2508.4
2020,2020,75-79 years,75-79,398191,9986833,3987.2
2020,2020,80-84 years,80-84,423893,6464714,6557
2020,2020,85-89 years,85-89,439251,Not Applicable,Not Applicable
2020,2020,90-94 years,90-94,365686,Not Applicable,Not Applicable
2020,2020,95-99 years,95-99,171236,Not Applicable,Not Applicable
2020,2020,100+ years,100+,36632,Not Applicable,Not Applicable
2020,2020,Not Stated,NS,116,Not Applicable,Not Applicable
2020,2020,,,3383729,329484123,1027
2021,2021,< 1 year,1,19920,3564493,558.8
2021,2021,1-4 years,1-4,3816,15262845,25
2021,2021,5-9 years,5-9,2406,20291548,11.9
2021,2021,10-14 years,10-14,3569,21447784,16.6
2021,2021,15-19 years,15-19,13407,21564666,62.2
2021,2021,20-24 years,20-24,24900,21523997,115.7
2021,2021,25-29 years,25-29,35195,22392477,157.2
2021,2021,30-34 years,30-34,47079,23102628,203.8
2021,2021,35-39 years,35-39,56403,22299318,252.9
2021,2021,40-44 years,40-44,68536,21104536,324.7
2021,2021,45-49 years,45-49,86144,19781510,435.5
2021,2021,50-54 years,50-54,129893,20906926,621.3
2021,2021,55-59 years,55-59,197608,21567314,916.2
2021,2021,60-64 years ,60-64,280563,21235750,1321.2
2021,2021,65-69 years,65-69,330984,18394320,1799.4
2021,2021,70-74 years,70-74,393282,15271802,2575.2
2021,2021,75-79 years,75-79,408867,9904769,4128
2021,2021,80-84 years,80-84,420786,6301306,6677.8
2021,2021,85-89 years,85-89,414900,Not Applicable,Not Applicable
2021,2021,90-94 years,90-94,336925,Not Applicable,Not Applicable
2021,2021,95-99 years,95-99,155459,Not Applicable,Not Applicable
2021,2021,100+ years,100+,33496,Not Applicable,Not Applicable
2021,2021,Not Stated,NS,93,Not Applicable,Not Applicable
2021,2021,,,3464231,331893745,1043.8
2022,2022,< 1 year,1,20553,3683113,558
2022,2022,1-4 years,1-4,4156,14855240,28
2022,2022,5-9 years,5-9,2567,20009195,12.8
2022,2022,10-14 years,10-14,3672,20889839,17.6
2022,2022,15-19 years,15-19,12745,21635792,58.9
2022,2022,20-24 years,20-24,22487,22705779,99
2022,2022,25-29 years,25-29,31295,22193164,141
2022,2022,30-34 years,30-34,43074,23308136,184.8
2022,2022,35-39 years,35-39,50472,22267949,226.7
2022,2022,40-44 years,40-44,61133,21427416,285.3
2022,2022,45-49 years,45-49,73143,19624098,372.7
2022,2022,50-54 years,50-54,110141,20807547,529.3
2022,2022,55-59 years,55-59,168323,20967014,802.8
2022,2022,60-64 years ,60-64,249218,21118423,1180.1
2022,2022,65-69 years,65-69,306165,18631422,1643.3
2022,2022,70-74 years,70-74,362416,15157017,2391.1
2022,2022,75-79 years,75-79,407592,10861000,3752.8
2022,2022,80-84 years,80-84,417311,6659545,6266.4
2022,2022,85-89 years,85-89,408434,Not Applicable,Not Applicable
2022,2022,90-94 years,90-94,332016,Not Applicable,Not Applicable
2022,2022,95-99 years,95-99,157396,Not Applicable,Not Applicable
2022,2022,100+ years,100+,35445,Not Applicable,Not Applicable
2022,2022,Not Stated,NS,103,Not Applicable,Not Applicable
2022,2022,,,3279857,333287557,984.1
2023 (provisional),2023,< 1 year,1,20145,3683113,547
2023 (provisional),2023,1-4 years,1-4,4059,14855240,27.3
2023 (provisional),2023,5-9 years,5-9,2502,20009195,12.5
2023 (provisional),2023,10-14 years,10-14,3503,20889839,16.8
2023 (provisional),2023,15-19 years,15-19,12777,21635792,59.1
2023 (provisional),2023,20-24 years,20-24,20934,22705779,92.2
2023 (provisional),2023,25-29 years,25-29,27775,22193164,125.2
2023 (provisional),2023,30-34 years,30-34,39674,23308136,170.2
2023 (provisional),2023,35-39 years,35-39,46983,22267949,211
2023 (provisional),2023,40-44 years,40-44,58353,21427416,272.3
2023 (provisional),2023,45-49 years,45-49,67271,19624098,342.8
2023 (provisional),2023,50-54 years,50-54,99502,20807547,478.2
2023 (provisional),2023,55-59 years,55-59,148600,20967014,708.7
2023 (provisional),2023,60-64 years ,60-64,227934,21118423,1079.3
2023 (provisional),2023,65-69 years,65-69,288996,18631422,1551.1
2023 (provisional),2023,70-74 years,70-74,338684,15157017,2234.5
2023 (provisional),2023,75-79 years,75-79,389791,10861000,3588.9
2023 (provisional),2023,80-84 years,80-84,408397,6659545,6132.5
2023 (provisional),2023,85-89 years,85-89,389919,Not Applicable,Not Applicable
2023 (provisional),2023,90-94 years,90-94,312034,Not Applicable,Not Applicable
2023 (provisional),2023,95-99 years,95-99,149364,Not Applicable,Not Applicable
2023 (provisional),2023,100+ years,100+,33687,Not Applicable,Not Applicable
2023 (provisional),2023,Not Stated,NS,80,Not Applicable,Not Applicable
2023 (provisional),2023,,,3090964,333287557,927.4
2024 (provisional and partial),2024,< 1 year,1,17857,3683113,484.8
2024 (provisional and partial),2024,1-4 years,1-4,3488,14855240,23.5
2024 (provisional and partial),2024,5-9 years,5-9,2327,20009195,11.6
2024 (provisional and partial),2024,10-14 years,10-14,3142,20889839,15
2024 (provisional and partial),2024,15-19 years,15-19,10500,21635792,48.5
2024 (provisional and partial),2024,20-24 years,20-24,17097,22705779,75.3
2024 (provisional and partial),2024,25-29 years,25-29,21798,22193164,98.2
2024 (provisional and partial),2024,30-34 years,30-34,31708,23308136,136
2024 (provisional and partial),2024,35-39 years,35-39,39965,22267949,179.5
2024 (provisional and partial),2024,40-44 years,40-44,50490,21427416,235.6
2024 (provisional and partial),2024,45-49 years,45-49,59730,19624098,304.4
2024 (provisional and partial),2024,50-54 years,50-54,87395,20807547,420
2024 (provisional and partial),2024,55-59 years,55-59,129579,20967014,618
2024 (provisional and partial),2024,60-64 years ,60-64,206738,21118423,978.9
2024 (provisional and partial),2024,65-69 years,65-69,270646,18631422,1452.6
2024 (provisional and partial),2024,70-74 years,70-74,321391,15157017,2120.4
2024 (provisional and partial),2024,75-79 years,75-79,380129,10861000,3499.9
2024 (provisional and partial),2024,80-84 years,80-84,398961,6659545,5990.8
2024 (provisional and partial),2024,85-89 years,85-89,377153,Not Applicable,Not Applicable
2024 (provisional and partial),2024,90-94 years,90-94,293928,Not Applicable,Not Applicable
2024 (provisional and partial),2024,95-99 years,95-99,141675,Not Applicable,Not Applicable
2024 (provisional and partial),2024,100+ years,100+,33148,Not Applicable,Not Applicable
2024 (provisional and partial),2024,Not Stated,NS,48,Not Applicable,Not Applicable
2024 (provisional and partial),2024,,,2898893,333287557,869.8
,,,,21811717,2316647496,941.5
