"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 17 ending April 28, 2018"	"2018/17"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 19 ending May 12, 2018"	"2018/19"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 27 ending July 07, 2018"	"2018/27"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 30 ending July 28, 2018"	"2018/30"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 34 ending August 25, 2018"	"2018/34"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 39 ending September 29, 2018"	"2018/39"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 41 ending October 13, 2018"	"2018/41"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2018 Week 49 ending December 08, 2018"	"2018/49"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2018 Week 47 ending November 24, 2018"	"2018/47"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 02 ending January 13, 2018"	"2018/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 06 ending February 10, 2018"	"2018/06"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 12 ending March 24, 2018"	"2018/12"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 14 ending April 07, 2018"	"2018/14"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 15 ending April 14, 2018"	"2018/15"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 17 ending April 28, 2018"	"2018/17"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 20 ending May 19, 2018"	"2018/20"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 24 ending June 16, 2018"	"2018/24"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 25 ending June 23, 2018"	"2018/25"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 29 ending July 21, 2018"	"2018/29"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 30 ending July 28, 2018"	"2018/30"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 32 ending August 11, 2018"	"2018/32"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 36 ending September 08, 2018"	"2018/36"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 43 ending October 27, 2018"	"2018/43"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018 Week 48 ending December 01, 2018"	"2018/48"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 02 ending January 13, 2018"	"2018/02"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 03 ending January 20, 2018"	"2018/03"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 05 ending February 03, 2018"	"2018/05"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 06 ending February 10, 2018"	"2018/06"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 09 ending March 03, 2018"	"2018/09"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 10 ending March 10, 2018"	"2018/10"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 11 ending March 17, 2018"	"2018/11"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 12 ending March 24, 2018"	"2018/12"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 13 ending March 31, 2018"	"2018/13"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 14 ending April 07, 2018"	"2018/14"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 16 ending April 21, 2018"	"2018/16"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 17 ending April 28, 2018"	"2018/17"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 18 ending May 05, 2018"	"2018/18"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 21 ending May 26, 2018"	"2018/21"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 22 ending June 02, 2018"	"2018/22"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 28 ending July 14, 2018"	"2018/28"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 30 ending July 28, 2018"	"2018/30"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 31 ending August 04, 2018"	"2018/31"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 32 ending August 11, 2018"	"2018/32"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 34 ending August 25, 2018"	"2018/34"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 36 ending September 08, 2018"	"2018/36"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 37 ending September 15, 2018"	"2018/37"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 39 ending September 29, 2018"	"2018/39"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 40 ending October 06, 2018"	"2018/40"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 43 ending October 27, 2018"	"2018/43"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 45 ending November 10, 2018"	"2018/45"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 46 ending November 17, 2018"	"2018/46"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 48 ending December 01, 2018"	"2018/48"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018 Week 49 ending December 08, 2018"	"2018/49"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 01 ending January 06, 2018"	"2018/01"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 02 ending January 13, 2018"	"2018/02"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 05 ending February 03, 2018"	"2018/05"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 06 ending February 10, 2018"	"2018/06"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 07 ending February 17, 2018"	"2018/07"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 08 ending February 24, 2018"	"2018/08"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 09 ending March 03, 2018"	"2018/09"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 10 ending March 10, 2018"	"2018/10"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 11 ending March 17, 2018"	"2018/11"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 13 ending March 31, 2018"	"2018/13"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 14 ending April 07, 2018"	"2018/14"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 16 ending April 21, 2018"	"2018/16"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 17 ending April 28, 2018"	"2018/17"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 18 ending May 05, 2018"	"2018/18"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 19 ending May 12, 2018"	"2018/19"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 21 ending May 26, 2018"	"2018/21"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 22 ending June 02, 2018"	"2018/22"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 23 ending June 09, 2018"	"2018/23"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 24 ending June 16, 2018"	"2018/24"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 25 ending June 23, 2018"	"2018/25"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 26 ending June 30, 2018"	"2018/26"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 27 ending July 07, 2018"	"2018/27"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 28 ending July 14, 2018"	"2018/28"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 31 ending August 04, 2018"	"2018/31"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 32 ending August 11, 2018"	"2018/32"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 35 ending September 01, 2018"	"2018/35"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 36 ending September 08, 2018"	"2018/36"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 38 ending September 22, 2018"	"2018/38"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 43 ending October 27, 2018"	"2018/43"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 45 ending November 10, 2018"	"2018/45"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 46 ending November 17, 2018"	"2018/46"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 47 ending November 24, 2018"	"2018/47"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 49 ending December 08, 2018"	"2018/49"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 50 ending December 15, 2018"	"2018/50"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018 Week 51 ending December 22, 2018"	"2018/51"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018 Week 01 ending January 06, 2018"	"2018/01"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018 Week 02 ending January 13, 2018"	"2018/02"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018 Week 03 ending January 20, 2018"	"2018/03"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018 Week 04 ending January 27, 2018"	"2018/04"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018 Week 05 ending February 03, 2018"	"2018/05"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018 Week 06 ending February 10, 2018"	"2018/06"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018 Week 07 ending February 17, 2018"	"2018/07"	16	Not Applicable	Not Applicable
