"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Iowa"	"19"	"30-34 years"	"30-34"	"2020 Week 22 ending May 30, 2020"	"2020/22"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 14 ending April 04, 2020"	"2020/14"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 17 ending April 25, 2020"	"2020/17"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 19 ending May 09, 2020"	"2020/19"	12	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 22 ending May 30, 2020"	"2020/22"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 37 ending September 12, 2020"	"2020/37"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 41 ending October 10, 2020"	"2020/41"	12	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 42 ending October 17, 2020"	"2020/42"	12	Not Applicable	Not Applicable
	"Iowa"	"19"	"35-39 years"	"35-39"	"2020 Week 47 ending November 21, 2020"	"2020/47"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2020 Week 07 ending February 15, 2020"	"2020/07"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2020 Week 08 ending February 22, 2020"	"2020/08"	10	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2020 Week 10 ending March 07, 2020"	"2020/10"	11	Not Applicable	Not Applicable
	"Iowa"	"19"	"40-44 years"	"40-44"	"2020 Week 20 ending May 16, 2020"	"2020/20"	11	Not Applicable	Not Applicable
