"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 01 ending January 08, 2022"	"2022/01"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 02 ending January 15, 2022"	"2022/02"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 03 ending January 22, 2022"	"2022/03"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 04 ending January 29, 2022"	"2022/04"	24	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 05 ending February 05, 2022"	"2022/05"	13	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 06 ending February 12, 2022"	"2022/06"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 07 ending February 19, 2022"	"2022/07"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 08 ending February 26, 2022"	"2022/08"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 10 ending March 12, 2022"	"2022/10"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 11 ending March 19, 2022"	"2022/11"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 12 ending March 26, 2022"	"2022/12"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 13 ending April 02, 2022"	"2022/13"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 14 ending April 09, 2022"	"2022/14"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 15 ending April 16, 2022"	"2022/15"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 16 ending April 23, 2022"	"2022/16"	21	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 17 ending April 30, 2022"	"2022/17"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 18 ending May 07, 2022"	"2022/18"	25	Not Applicable	Not Applicable
