"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 20 ending May 20, 2023 (provisional)"	"2023/20"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 22 ending June 03, 2023 (provisional)"	"2023/22"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 34 ending August 26, 2023 (provisional)"	"2023/34"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 35 ending September 02, 2023 (provisional)"	"2023/35"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 48 ending December 02, 2023 (provisional)"	"2023/48"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 49 ending December 09, 2023 (provisional)"	"2023/49"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 51 ending December 23, 2023 (provisional)"	"2023/51"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2023 Week 52 ending December 30, 2023 (provisional)"	"2023/52"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2023 Week 47 ending November 25, 2023 (provisional)"	"2023/47"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2023 Week 50 ending December 16, 2023 (provisional)"	"2023/50"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 10 ending March 11, 2023 (provisional)"	"2023/10"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 22 ending June 03, 2023 (provisional)"	"2023/22"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 28 ending July 15, 2023 (provisional)"	"2023/28"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 29 ending July 22, 2023 (provisional)"	"2023/29"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 34 ending August 26, 2023 (provisional)"	"2023/34"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 37 ending September 16, 2023 (provisional)"	"2023/37"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 40 ending October 07, 2023 (provisional)"	"2023/40"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2023 Week 52 ending December 30, 2023 (provisional)"	"2023/52"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 10 ending March 11, 2023 (provisional)"	"2023/10"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	15	Not Applicable	Not Applicable
