"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	44806	4430141	1011.4
	"1999"	"1999"	"Alaska"	"02"	2708	624779	433.4
	"1999"	"1999"	"Arizona"	"04"	40050	5023823	797.2
	"1999"	"1999"	"Arkansas"	"05"	27925	2651860	1053.0
	"1999"	"1999"	"California"	"06"	229380	33499204	684.7
	"1999"	"1999"	"Colorado"	"08"	27114	4226018	641.6
	"1999"	"1999"	"Connecticut"	"09"	29446	3386401	869.5
	"1999"	"1999"	"Delaware"	"10"	6666	774990	860.1
	"1999"	"1999"	"District of Columbia"	"11"	6076	570213	1065.6
	"1999"	"1999"	"Florida"	"12"	163224	15759421	1035.7
	"1999"	"1999"	"Georgia"	"13"	62028	8045965	770.9
	"1999"	"1999"	"Hawaii"	"15"	8270	1210300	683.3
	"1999"	"1999"	"Idaho"	"16"	9579	1275674	750.9
	"1999"	"1999"	"Illinois"	"17"	108436	12359020	877.4
	"1999"	"1999"	"Indiana"	"18"	55303	6044969	914.9
	"1999"	"1999"	"Iowa"	"19"	28411	2917634	973.8
	"1999"	"1999"	"Kansas"	"20"	24472	2678338	913.7
	"1999"	"1999"	"Kentucky"	"21"	39321	4018053	978.6
	"1999"	"1999"	"Louisiana"	"22"	41238	4460811	924.5
	"1999"	"1999"	"Maine"	"23"	12261	1266808	967.9
	"1999"	"1999"	"Maryland"	"24"	43089	5254509	820.0
	"1999"	"1999"	"Massachusetts"	"25"	55840	6317345	883.9
	"1999"	"1999"	"Michigan"	"26"	87232	9897116	881.4
	"1999"	"1999"	"Minnesota"	"27"	38537	4873481	790.7
	"1999"	"1999"	"Mississippi"	"28"	28185	2828408	996.5
	"1999"	"1999"	"Missouri"	"29"	55931	5561948	1005.6
	"1999"	"1999"	"Montana"	"30"	8128	897507	905.6
	"1999"	"1999"	"Nebraska"	"31"	15579	1704764	913.9
	"1999"	"1999"	"Nevada"	"32"	15082	1934718	779.5
	"1999"	"1999"	"New Hampshire"	"33"	9537	1222014	780.4
	"1999"	"1999"	"New Jersey"	"34"	73981	8359592	885.0
	"1999"	"1999"	"New Mexico"	"35"	13676	1808082	756.4
	"1999"	"1999"	"New York"	"36"	159927	18882725	846.9
	"1999"	"1999"	"North Carolina"	"37"	69600	7949361	875.5
	"1999"	"1999"	"North Dakota"	"38"	6103	644259	947.3
	"1999"	"1999"	"Ohio"	"39"	108517	11335454	957.3
	"1999"	"1999"	"Oklahoma"	"40"	34700	3437147	1009.6
	"1999"	"1999"	"Oregon"	"41"	29422	3393941	866.9
	"1999"	"1999"	"Pennsylvania"	"42"	130283	12263805	1062.3
	"1999"	"1999"	"Rhode Island"	"44"	9708	1040402	933.1
	"1999"	"1999"	"South Carolina"	"45"	36053	3974682	907.1
	"1999"	"1999"	"South Dakota"	"46"	6953	750412	926.6
	"1999"	"1999"	"Tennessee"	"47"	53765	5638706	953.5
	"1999"	"1999"	"Texas"	"48"	146858	20558220	714.4
	"1999"	"1999"	"Utah"	"49"	12058	2203482	547.2
	"1999"	"1999"	"Vermont"	"50"	4993	604683	825.7
	"1999"	"1999"	"Virginia"	"51"	55320	7000174	790.3
	"1999"	"1999"	"Washington"	"53"	43865	5842564	750.8
	"1999"	"1999"	"West Virginia"	"54"	21049	1811799	1161.8
	"1999"	"1999"	"Wisconsin"	"55"	46672	5332666	875.2
	"1999"	"1999"	"Wyoming"	"56"	4042	491780	821.9
"Total"	"1999"	"1999"			2391399	279040168	857.0
	"2000"	"2000"	"Alabama"	"01"	45062	4447100	1013.3
	"2000"	"2000"	"Alaska"	"02"	2914	626932	464.8
	"2000"	"2000"	"Arizona"	"04"	40500	5130632	789.4
	"2000"	"2000"	"Arkansas"	"05"	28217	2673400	1055.5
	"2000"	"2000"	"California"	"06"	229551	33871648	677.7
	"2000"	"2000"	"Colorado"	"08"	27288	4301261	634.4
	"2000"	"2000"	"Connecticut"	"09"	30129	3405565	884.7
	"2000"	"2000"	"Delaware"	"10"	6875	783600	877.4
	"2000"	"2000"	"District of Columbia"	"11"	6001	572059	1049.0
	"2000"	"2000"	"Florida"	"12"	164395	15982378	1028.6
	"2000"	"2000"	"Georgia"	"13"	63870	8186453	780.2
	"2000"	"2000"	"Hawaii"	"15"	8290	1211537	684.3
	"2000"	"2000"	"Idaho"	"16"	9563	1293953	739.1
	"2000"	"2000"	"Illinois"	"17"	106634	12419293	858.6
	"2000"	"2000"	"Indiana"	"18"	55469	6080485	912.2
	"2000"	"2000"	"Iowa"	"19"	28060	2926324	958.9
	"2000"	"2000"	"Kansas"	"20"	24717	2688418	919.4
	"2000"	"2000"	"Kentucky"	"21"	39504	4041769	977.4
	"2000"	"2000"	"Louisiana"	"22"	41138	4468976	920.5
	"2000"	"2000"	"Maine"	"23"	12354	1274923	969.0
	"2000"	"2000"	"Maryland"	"24"	43753	5296486	826.1
	"2000"	"2000"	"Massachusetts"	"25"	56681	6349097	892.7
	"2000"	"2000"	"Michigan"	"26"	86953	9938444	874.9
	"2000"	"2000"	"Minnesota"	"27"	37690	4919479	766.1
	"2000"	"2000"	"Mississippi"	"28"	28654	2844658	1007.3
	"2000"	"2000"	"Missouri"	"29"	54865	5595211	980.6
	"2000"	"2000"	"Montana"	"30"	8096	902195	897.4
	"2000"	"2000"	"Nebraska"	"31"	14992	1711263	876.1
	"2000"	"2000"	"Nevada"	"32"	15261	1998257	763.7
	"2000"	"2000"	"New Hampshire"	"33"	9697	1235786	784.7
	"2000"	"2000"	"New Jersey"	"34"	74800	8414350	889.0
	"2000"	"2000"	"New Mexico"	"35"	13425	1819046	738.0
	"2000"	"2000"	"New York"	"36"	158203	18976457	833.7
	"2000"	"2000"	"North Carolina"	"37"	71935	8049313	893.7
	"2000"	"2000"	"North Dakota"	"38"	5856	642200	911.9
	"2000"	"2000"	"Ohio"	"39"	108125	11353140	952.4
	"2000"	"2000"	"Oklahoma"	"40"	35079	3450654	1016.6
	"2000"	"2000"	"Oregon"	"41"	29552	3421399	863.7
	"2000"	"2000"	"Pennsylvania"	"42"	130813	12281054	1065.2
	"2000"	"2000"	"Rhode Island"	"44"	10027	1048319	956.5
	"2000"	"2000"	"South Carolina"	"45"	36948	4012012	920.9
	"2000"	"2000"	"South Dakota"	"46"	7021	754844	930.1
	"2000"	"2000"	"Tennessee"	"47"	55246	5689283	971.1
	"2000"	"2000"	"Texas"	"48"	149939	20851820	719.1
	"2000"	"2000"	"Utah"	"49"	12364	2233169	553.7
	"2000"	"2000"	"Vermont"	"50"	5127	608827	842.1
	"2000"	"2000"	"Virginia"	"51"	56282	7078515	795.1
	"2000"	"2000"	"Washington"	"53"	43941	5894121	745.5
	"2000"	"2000"	"West Virginia"	"54"	21114	1808344	1167.6
	"2000"	"2000"	"Wisconsin"	"55"	46461	5363675	866.2
	"2000"	"2000"	"Wyoming"	"56"	3920	493782	793.9
"Total"	"2000"	"2000"			2403351	281421906	854.0
	"2001"	"2001"	"Alabama"	"01"	45316	4467634	1014.3
	"2001"	"2001"	"Alaska"	"02"	2974	633714	469.3
	"2001"	"2001"	"Arizona"	"04"	41058	5273477	778.6
	"2001"	"2001"	"Arkansas"	"05"	27759	2691571	1031.3
	"2001"	"2001"	"California"	"06"	234044	34479458	678.8
	"2001"	"2001"	"Colorado"	"08"	28294	4425687	639.3
	"2001"	"2001"	"Connecticut"	"09"	29827	3432835	868.9
	"2001"	"2001"	"Delaware"	"10"	7112	795699	893.8
	"2001"	"2001"	"District of Columbia"	"11"	5951	574504	1035.9
	"2001"	"2001"	"Florida"	"12"	167269	16356966	1022.6
	"2001"	"2001"	"Georgia"	"13"	64485	8377038	769.8
	"2001"	"2001"	"Hawaii"	"15"	8394	1225948	684.7
	"2001"	"2001"	"Idaho"	"16"	9753	1319962	738.9
	"2001"	"2001"	"Illinois"	"17"	105430	12488445	844.2
	"2001"	"2001"	"Indiana"	"18"	55198	6127760	900.8
	"2001"	"2001"	"Iowa"	"19"	27791	2931997	947.9
	"2001"	"2001"	"Kansas"	"20"	24647	2702162	912.1
	"2001"	"2001"	"Kentucky"	"21"	39861	4068132	979.8
	"2001"	"2001"	"Louisiana"	"22"	41757	4477875	932.5
	"2001"	"2001"	"Maine"	"23"	12421	1285692	966.1
	"2001"	"2001"	"Maryland"	"24"	43839	5374691	815.7
	"2001"	"2001"	"Massachusetts"	"25"	56754	6397634	887.1
	"2001"	"2001"	"Michigan"	"26"	86424	9991120	865.0
	"2001"	"2001"	"Minnesota"	"27"	37735	4982796	757.3
	"2001"	"2001"	"Mississippi"	"28"	28259	2852994	990.5
	"2001"	"2001"	"Missouri"	"29"	54982	5641142	974.7
	"2001"	"2001"	"Montana"	"30"	8265	906961	911.3
	"2001"	"2001"	"Nebraska"	"31"	15174	1719836	882.3
	"2001"	"2001"	"Nevada"	"32"	16285	2098399	776.1
	"2001"	"2001"	"New Hampshire"	"33"	9815	1255517	781.7
	"2001"	"2001"	"New Jersey"	"34"	74710	8492671	879.7
	"2001"	"2001"	"New Mexico"	"35"	14129	1831690	771.4
	"2001"	"2001"	"New York"	"36"	159240	19082838	834.5
	"2001"	"2001"	"North Carolina"	"37"	70934	8210122	864.0
	"2001"	"2001"	"North Dakota"	"38"	6048	639062	946.4
	"2001"	"2001"	"Ohio"	"39"	108027	11387404	948.7
	"2001"	"2001"	"Oklahoma"	"40"	34682	3467100	1000.3
	"2001"	"2001"	"Oregon"	"41"	30158	3467937	869.6
	"2001"	"2001"	"Pennsylvania"	"42"	129729	12298970	1054.8
	"2001"	"2001"	"Rhode Island"	"44"	10021	1057142	947.9
	"2001"	"2001"	"South Carolina"	"45"	36612	4064995	900.7
	"2001"	"2001"	"South Dakota"	"46"	6923	757972	913.4
	"2001"	"2001"	"Tennessee"	"47"	55151	5750789	959.0
	"2001"	"2001"	"Texas"	"48"	152779	21319622	716.6
	"2001"	"2001"	"Utah"	"49"	12662	2283715	554.4
	"2001"	"2001"	"Vermont"	"50"	5201	612223	849.5
	"2001"	"2001"	"Virginia"	"51"	56280	7198362	781.8
	"2001"	"2001"	"Washington"	"53"	44642	5985722	745.8
	"2001"	"2001"	"West Virginia"	"54"	20967	1801481	1163.9
	"2001"	"2001"	"Wisconsin"	"55"	46628	5406835	862.4
	"2001"	"2001"	"Wyoming"	"56"	4029	494657	814.5
"Total"	"2001"	"2001"			2416425	284968955	848.0
	"2002"	"2002"	"Alabama"	"01"	46069	4480089	1028.3
	"2002"	"2002"	"Alaska"	"02"	3030	642337	471.7
	"2002"	"2002"	"Arizona"	"04"	42816	5396255	793.4
	"2002"	"2002"	"Arkansas"	"05"	28513	2705927	1053.7
	"2002"	"2002"	"California"	"06"	234565	34871843	672.6
	"2002"	"2002"	"Colorado"	"08"	29210	4490406	650.5
	"2002"	"2002"	"Connecticut"	"09"	30122	3458749	870.9
	"2002"	"2002"	"Delaware"	"10"	6861	806169	851.1
	"2002"	"2002"	"District of Columbia"	"11"	5851	573158	1020.8
	"2002"	"2002"	"Florida"	"12"	167814	16689370	1005.5
	"2002"	"2002"	"Georgia"	"13"	65449	8508256	769.2
	"2002"	"2002"	"Hawaii"	"15"	8801	1239613	710.0
	"2002"	"2002"	"Idaho"	"16"	9923	1340372	740.3
	"2002"	"2002"	"Illinois"	"17"	106667	12525556	851.6
	"2002"	"2002"	"Indiana"	"18"	55396	6155967	899.9
	"2002"	"2002"	"Iowa"	"19"	27978	2934234	953.5
	"2002"	"2002"	"Kansas"	"20"	25021	2713535	922.1
	"2002"	"2002"	"Kentucky"	"21"	40697	4089875	995.1
	"2002"	"2002"	"Louisiana"	"22"	41984	4497267	933.5
	"2002"	"2002"	"Maine"	"23"	12694	1295960	979.5
	"2002"	"2002"	"Maryland"	"24"	43970	5440389	808.2
	"2002"	"2002"	"Massachusetts"	"25"	56928	6417206	887.1
	"2002"	"2002"	"Michigan"	"26"	87795	10015710	876.6
	"2002"	"2002"	"Minnesota"	"27"	38510	5018935	767.3
	"2002"	"2002"	"Mississippi"	"28"	28853	2858681	1009.3
	"2002"	"2002"	"Missouri"	"29"	55940	5674825	985.8
	"2002"	"2002"	"Montana"	"30"	8506	911667	933.0
	"2002"	"2002"	"Nebraska"	"31"	15738	1728292	910.6
	"2002"	"2002"	"Nevada"	"32"	16927	2173791	778.7
	"2002"	"2002"	"New Hampshire"	"33"	9853	1269089	776.4
	"2002"	"2002"	"New Jersey"	"34"	74009	8552643	865.3
	"2002"	"2002"	"New Mexico"	"35"	14344	1855309	773.1
	"2002"	"2002"	"New York"	"36"	158118	19137800	826.2
	"2002"	"2002"	"North Carolina"	"37"	72027	8326201	865.1
	"2002"	"2002"	"North Dakota"	"38"	5892	638168	923.3
	"2002"	"2002"	"Ohio"	"39"	109766	11407889	962.2
	"2002"	"2002"	"Oklahoma"	"40"	35502	3489080	1017.5
	"2002"	"2002"	"Oregon"	"41"	31119	3513424	885.7
	"2002"	"2002"	"Pennsylvania"	"42"	130223	12331031	1056.1
	"2002"	"2002"	"Rhode Island"	"44"	10246	1065995	961.2
	"2002"	"2002"	"South Carolina"	"45"	37736	4107795	918.6
	"2002"	"2002"	"South Dakota"	"46"	6898	760020	907.6
	"2002"	"2002"	"Tennessee"	"47"	56606	5795918	976.7
	"2002"	"2002"	"Texas"	"48"	155524	21690325	717.0
	"2002"	"2002"	"Utah"	"49"	13116	2324815	564.2
	"2002"	"2002"	"Vermont"	"50"	5075	615442	824.6
	"2002"	"2002"	"Virginia"	"51"	57196	7286873	784.9
	"2002"	"2002"	"Washington"	"53"	45338	6052349	749.1
	"2002"	"2002"	"West Virginia"	"54"	21016	1805414	1164.1
	"2002"	"2002"	"Wisconsin"	"55"	46981	5445162	862.8
	"2002"	"2002"	"Wyoming"	"56"	4174	500017	834.8
"Total"	"2002"	"2002"			2443387	287625193	849.5
	"2003"	"2003"	"Alabama"	"01"	46716	4503491	1037.3
	"2003"	"2003"	"Alaska"	"02"	3180	648414	490.4
	"2003"	"2003"	"Arizona"	"04"	43392	5510364	787.5
	"2003"	"2003"	"Arkansas"	"05"	27918	2724816	1024.6
	"2003"	"2003"	"California"	"06"	239371	35253159	679.0
	"2003"	"2003"	"Colorado"	"08"	29506	4528732	651.5
	"2003"	"2003"	"Connecticut"	"09"	29627	3484336	850.3
	"2003"	"2003"	"Delaware"	"10"	7070	818003	864.3
	"2003"	"2003"	"District of Columbia"	"11"	5573	568502	980.3
	"2003"	"2003"	"Florida"	"12"	168657	17004085	991.9
	"2003"	"2003"	"Georgia"	"13"	66478	8622793	771.0
	"2003"	"2003"	"Hawaii"	"15"	8978	1251154	717.6
	"2003"	"2003"	"Idaho"	"16"	10380	1363380	761.3
	"2003"	"2003"	"Illinois"	"17"	105325	12556006	838.8
	"2003"	"2003"	"Indiana"	"18"	55968	6196638	903.2
	"2003"	"2003"	"Iowa"	"19"	28062	2941999	953.8
	"2003"	"2003"	"Kansas"	"20"	24593	2723004	903.2
	"2003"	"2003"	"Kentucky"	"21"	40241	4117170	977.4
	"2003"	"2003"	"Louisiana"	"22"	42719	4521042	944.9
