"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	"< 1 year"	"1"	606	58787	1030.8
	"1999"	"1999"	"Alabama"	"01"	"1-4 years"	"1-4"	121	236153	51.2
	"1999"	"1999"	"Alabama"	"01"	"5-9 years"	"5-9"	86	315749	27.2
	"1999"	"1999"	"Alabama"	"01"	"10-14 years"	"10-14"	98	317379	30.9
	"1999"	"1999"	"Alabama"	"01"	"15-19 years"	"15-19"	338	327789	103.1
	"1999"	"1999"	"Alabama"	"01"	"20-24 years"	"20-24"	414	306182	135.2
	"1999"	"1999"	"Alabama"	"01"	"25-34 years"	"25-34"	893	608323	146.8
	"1999"	"1999"	"Alabama"	"01"	"35-44 years"	"35-44"	1887	686932	274.7
	"1999"	"1999"	"Alabama"	"01"	"45-54 years"	"45-54"	3157	585651	539.1
	"1999"	"1999"	"Alabama"	"01"	"55-64 years"	"55-64"	5041	410542	1227.9
	"1999"	"1999"	"Alabama"	"01"	"65-74 years"	"65-74"	8844	315928	2799.4
	"1999"	"1999"	"Alabama"	"01"	"75-84 years"	"75-84"	12472	194773	6403.4
	"1999"	"1999"	"Alabama"	"01"	"85+ years"	"85+"	10849	65953	16449.6
	"1999"	"1999"	"Alabama"	"01"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alaska"	"02"	"< 1 year"	"1"	57	9265	615.2
	"1999"	"1999"	"Alaska"	"02"	"1-4 years"	"1-4"	17	38671	44.0 (Unreliable)
	"1999"	"1999"	"Alaska"	"02"	"5-9 years"	"5-9"	11	55181	19.9 (Unreliable)
	"1999"	"1999"	"Alaska"	"02"	"10-14 years"	"10-14"	Suppressed	55877	Suppressed
	"1999"	"1999"	"Alaska"	"02"	"15-19 years"	"15-19"	54	49732	108.6
	"1999"	"1999"	"Alaska"	"02"	"20-24 years"	"20-24"	42	39451	106.5
	"1999"	"1999"	"Alaska"	"02"	"25-34 years"	"25-34"	138	90016	153.3
	"1999"	"1999"	"Alaska"	"02"	"35-44 years"	"35-44"	228	116881	195.1
	"1999"	"1999"	"Alaska"	"02"	"45-54 years"	"45-54"	310	92120	336.5
	"1999"	"1999"	"Alaska"	"02"	"55-64 years"	"55-64"	393	43341	906.8
	"1999"	"1999"	"Alaska"	"02"	"65-74 years"	"65-74"	541	21731	2489.5
	"1999"	"1999"	"Alaska"	"02"	"75-84 years"	"75-84"	566	10052	5630.7
	"1999"	"1999"	"Alaska"	"02"	"85+ years"	"85+"	344	2461	13978.1
	"1999"	"1999"	"Alaska"	"02"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Arizona"	"04"	"< 1 year"	"1"	548	77506	707.0
	"1999"	"1999"	"Arizona"	"04"	"1-4 years"	"1-4"	108	298582	36.2
	"1999"	"1999"	"Arizona"	"04"	"5-9 years"	"5-9"	54	380471	14.2
	"1999"	"1999"	"Arizona"	"04"	"10-14 years"	"10-14"	81	364017	22.3
	"1999"	"1999"	"Arizona"	"04"	"15-19 years"	"15-19"	269	359836	74.8
	"1999"	"1999"	"Arizona"	"04"	"20-24 years"	"20-24"	371	350911	105.7
	"1999"	"1999"	"Arizona"	"04"	"25-34 years"	"25-34"	857	738538	116.0
	"1999"	"1999"	"Arizona"	"04"	"35-44 years"	"35-44"	1682	761436	220.9
	"1999"	"1999"	"Arizona"	"04"	"45-54 years"	"45-54"	2660	604767	439.8
	"1999"	"1999"	"Arizona"	"04"	"55-64 years"	"55-64"	4121	427747	963.4
	"1999"	"1999"	"Arizona"	"04"	"65-74 years"	"65-74"	7831	362714	2159.0
	"1999"	"1999"	"Arizona"	"04"	"75-84 years"	"75-84"	11924	231098	5159.7
	"1999"	"1999"	"Arizona"	"04"	"85+ years"	"85+"	9503	66200	14355.0
	"1999"	"1999"	"Arizona"	"04"	"Not Stated"	"NS"	41	Not Applicable	Not Applicable
	"1999"	"1999"	"Arkansas"	"05"	"< 1 year"	"1"	292	35851	814.5
	"1999"	"1999"	"Arkansas"	"05"	"1-4 years"	"1-4"	63	145276	43.4
	"1999"	"1999"	"Arkansas"	"05"	"5-9 years"	"5-9"	43	188127	22.9
	"1999"	"1999"	"Arkansas"	"05"	"10-14 years"	"10-14"	66	193029	34.2
	"1999"	"1999"	"Arkansas"	"05"	"15-19 years"	"15-19"	175	200122	87.4
	"1999"	"1999"	"Arkansas"	"05"	"20-24 years"	"20-24"	219	179622	121.9
	"1999"	"1999"	"Arkansas"	"05"	"25-34 years"	"25-34"	471	351295	134.1
	"1999"	"1999"	"Arkansas"	"05"	"35-44 years"	"35-44"	968	394882	245.1
	"1999"	"1999"	"Arkansas"	"05"	"45-54 years"	"45-54"	1734	340043	509.9
	"1999"	"1999"	"Arkansas"	"05"	"55-64 years"	"55-64"	2931	251017	1167.6
	"1999"	"1999"	"Arkansas"	"05"	"65-74 years"	"65-74"	5395	197936	2725.6
	"1999"	"1999"	"Arkansas"	"05"	"75-84 years"	"75-84"	8090	128798	6281.2
	"1999"	"1999"	"Arkansas"	"05"	"85+ years"	"85+"	7476	45862	16301.1
	"1999"	"1999"	"Arkansas"	"05"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"California"	"06"	"< 1 year"	"1"	2800	485647	576.6
	"1999"	"1999"	"California"	"06"	"1-4 years"	"1-4"	602	2026500	29.7
	"1999"	"1999"	"California"	"06"	"5-9 years"	"5-9"	364	2748888	13.2
	"1999"	"1999"	"California"	"06"	"10-14 years"	"10-14"	447	2497890	17.9
	"1999"	"1999"	"California"	"06"	"15-19 years"	"15-19"	1320	2403117	54.9
	"1999"	"1999"	"California"	"06"	"20-24 years"	"20-24"	1782	2303169	77.4
	"1999"	"1999"	"California"	"06"	"25-34 years"	"25-34"	4357	5278543	82.5
	"1999"	"1999"	"California"	"06"	"35-44 years"	"35-44"	9227	5462186	168.9
	"1999"	"1999"	"California"	"06"	"45-54 years"	"45-54"	16051	4189310	383.1
	"1999"	"1999"	"California"	"06"	"55-64 years"	"55-64"	22661	2543047	891.1
	"1999"	"1999"	"California"	"06"	"65-74 years"	"65-74"	41859	1888004	2217.1
	"1999"	"1999"	"California"	"06"	"75-84 years"	"75-84"	66732	1259639	5297.7
	"1999"	"1999"	"California"	"06"	"85+ years"	"85+"	61097	413264	14784.0
	"1999"	"1999"	"California"	"06"	"Not Stated"	"NS"	81	Not Applicable	Not Applicable
	"1999"	"1999"	"Colorado"	"08"	"< 1 year"	"1"	416	60120	691.9
	"1999"	"1999"	"Colorado"	"08"	"1-4 years"	"1-4"	78	231098	33.8
	"1999"	"1999"	"Colorado"	"08"	"5-9 years"	"5-9"	51	304910	16.7
	"1999"	"1999"	"Colorado"	"08"	"10-14 years"	"10-14"	55	306407	17.9
	"1999"	"1999"	"Colorado"	"08"	"15-19 years"	"15-19"	226	302365	74.7
	"1999"	"1999"	"Colorado"	"08"	"20-24 years"	"20-24"	228	294419	77.4
	"1999"	"1999"	"Colorado"	"08"	"25-34 years"	"25-34"	618	654857	94.4
	"1999"	"1999"	"Colorado"	"08"	"35-44 years"	"35-44"	1270	738963	171.9
	"1999"	"1999"	"Colorado"	"08"	"45-54 years"	"45-54"	1900	593059	320.4
	"1999"	"1999"	"Colorado"	"08"	"55-64 years"	"55-64"	2662	329046	809.0
	"1999"	"1999"	"Colorado"	"08"	"65-74 years"	"65-74"	4819	224419	2147.3
	"1999"	"1999"	"Colorado"	"08"	"75-84 years"	"75-84"	7537	139103	5418.3
	"1999"	"1999"	"Colorado"	"08"	"85+ years"	"85+"	7251	47252	15345.4
	"1999"	"1999"	"Colorado"	"08"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Connecticut"	"09"	"< 1 year"	"1"	265	42660	621.2
	"1999"	"1999"	"Connecticut"	"09"	"1-4 years"	"1-4"	35	180157	19.4
	"1999"	"1999"	"Connecticut"	"09"	"5-9 years"	"5-9"	30	245385	12.2
	"1999"	"1999"	"Connecticut"	"09"	"10-14 years"	"10-14"	41	236053	17.4
	"1999"	"1999"	"Connecticut"	"09"	"15-19 years"	"15-19"	95	213162	44.6
	"1999"	"1999"	"Connecticut"	"09"	"20-24 years"	"20-24"	159	185894	85.5
	"1999"	"1999"	"Connecticut"	"09"	"25-34 years"	"25-34"	391	462436	84.6
	"1999"	"1999"	"Connecticut"	"09"	"35-44 years"	"35-44"	911	579519	157.2
	"1999"	"1999"	"Connecticut"	"09"	"45-54 years"	"45-54"	1642	469320	349.9
	"1999"	"1999"	"Connecticut"	"09"	"55-64 years"	"55-64"	2552	302459	843.8
	"1999"	"1999"	"Connecticut"	"09"	"65-74 years"	"65-74"	4990	233337	2138.5
	"1999"	"1999"	"Connecticut"	"09"	"75-84 years"	"75-84"	9097	173198	5252.4
	"1999"	"1999"	"Connecticut"	"09"	"85+ years"	"85+"	9237	62821	14703.7
	"1999"	"1999"	"Connecticut"	"09"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Delaware"	"10"	"< 1 year"	"1"	79	10223	772.8
	"1999"	"1999"	"Delaware"	"10"	"1-4 years"	"1-4"	15	40846	36.7 (Unreliable)
	"1999"	"1999"	"Delaware"	"10"	"5-9 years"	"5-9"	Suppressed	55768	Suppressed
	"1999"	"1999"	"Delaware"	"10"	"10-14 years"	"10-14"	Suppressed	54060	Suppressed
	"1999"	"1999"	"Delaware"	"10"	"15-19 years"	"15-19"	25	54830	45.6
	"1999"	"1999"	"Delaware"	"10"	"20-24 years"	"20-24"	35	50086	69.9
	"1999"	"1999"	"Delaware"	"10"	"25-34 years"	"25-34"	108	111049	97.3
	"1999"	"1999"	"Delaware"	"10"	"35-44 years"	"35-44"	299	126830	235.7
	"1999"	"1999"	"Delaware"	"10"	"45-54 years"	"45-54"	426	100828	422.5
	"1999"	"1999"	"Delaware"	"10"	"55-64 years"	"55-64"	674	69886	964.4
	"1999"	"1999"	"Delaware"	"10"	"65-74 years"	"65-74"	1450	56195	2580.3
	"1999"	"1999"	"Delaware"	"10"	"75-84 years"	"75-84"	1993	34150	5836.0
	"1999"	"1999"	"Delaware"	"10"	"85+ years"	"85+"	1545	10239	15089.4
	"1999"	"1999"	"Delaware"	"10"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"District of Columbia"	"11"	"< 1 year"	"1"	113	6458	1749.8
	"1999"	"1999"	"District of Columbia"	"11"	"1-4 years"	"1-4"	14	26440	53.0 (Unreliable)
	"1999"	"1999"	"District of Columbia"	"11"	"5-9 years"	"5-9"	Suppressed	36596	Suppressed
	"1999"	"1999"	"District of Columbia"	"11"	"10-14 years"	"10-14"	Suppressed	28544	Suppressed
	"1999"	"1999"	"District of Columbia"	"11"	"15-19 years"	"15-19"	58	36717	158.0
	"1999"	"1999"	"District of Columbia"	"11"	"20-24 years"	"20-24"	66	48523	136.0
	"1999"	"1999"	"District of Columbia"	"11"	"25-34 years"	"25-34"	177	106678	165.9
	"1999"	"1999"	"District of Columbia"	"11"	"35-44 years"	"35-44"	387	88156	439.0
	"1999"	"1999"	"District of Columbia"	"11"	"45-54 years"	"45-54"	646	73239	882.0
	"1999"	"1999"	"District of Columbia"	"11"	"55-64 years"	"55-64"	717	48709	1472.0
	"1999"	"1999"	"District of Columbia"	"11"	"65-74 years"	"65-74"	1069	36561	2923.9
	"1999"	"1999"	"District of Columbia"	"11"	"75-84 years"	"75-84"	1515	24830	6101.5
	"1999"	"1999"	"District of Columbia"	"11"	"85+ years"	"85+"	1295	8762	14779.7
	"1999"	"1999"	"District of Columbia"	"11"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Florida"	"12"	"< 1 year"	"1"	1452	187719	773.5
	"1999"	"1999"	"Florida"	"12"	"1-4 years"	"1-4"	329	754054	43.6
	"1999"	"1999"	"Florida"	"12"	"5-9 years"	"5-9"	186	1037103	17.9
	"1999"	"1999"	"Florida"	"12"	"10-14 years"	"10-14"	212	1032139	20.5
	"1999"	"1999"	"Florida"	"12"	"15-19 years"	"15-19"	674	992265	67.9
	"1999"	"1999"	"Florida"	"12"	"20-24 years"	"20-24"	909	907463	100.2
	"1999"	"1999"	"Florida"	"12"	"25-34 years"	"25-34"	2543	2092705	121.5
	"1999"	"1999"	"Florida"	"12"	"35-44 years"	"35-44"	5702	2456475	232.1
	"1999"	"1999"	"Florida"	"12"	"45-54 years"	"45-54"	9178	1991942	460.8
	"1999"	"1999"	"Florida"	"12"	"55-64 years"	"55-64"	14894	1509450	986.7
	"1999"	"1999"	"Florida"	"12"	"65-74 years"	"65-74"	30535	1462865	2087.3
	"1999"	"1999"	"Florida"	"12"	"75-84 years"	"75-84"	50049	1012330	4943.9
	"1999"	"1999"	"Florida"	"12"	"85+ years"	"85+"	46510	322911	14403.3
	"1999"	"1999"	"Florida"	"12"	"Not Stated"	"NS"	51	Not Applicable	Not Applicable
	"1999"	"1999"	"Georgia"	"13"	"< 1 year"	"1"	1040	119807	868.1
	"1999"	"1999"	"Georgia"	"13"	"1-4 years"	"1-4"	171	463161	36.9
	"1999"	"1999"	"Georgia"	"13"	"5-9 years"	"5-9"	131	609017	21.5
	"1999"	"1999"	"Georgia"	"13"	"10-14 years"	"10-14"	155	591812	26.2
	"1999"	"1999"	"Georgia"	"13"	"15-19 years"	"15-19"	481	589631	81.6
	"1999"	"1999"	"Georgia"	"13"	"20-24 years"	"20-24"	537	574511	93.5
	"1999"	"1999"	"Georgia"	"13"	"25-34 years"	"25-34"	1510	1294350	116.7
	"1999"	"1999"	"Georgia"	"13"	"35-44 years"	"35-44"	3054	1335448	228.7
	"1999"	"1999"	"Georgia"	"13"	"45-54 years"	"45-54"	5107	1046564	488.0
	"1999"	"1999"	"Georgia"	"13"	"55-64 years"	"55-64"	7609	642834	1183.7
	"1999"	"1999"	"Georgia"	"13"	"65-74 years"	"65-74"	12137	431276	2814.2
	"1999"	"1999"	"Georgia"	"13"	"75-84 years"	"75-84"	16341	261145	6257.4
	"1999"	"1999"	"Georgia"	"13"	"85+ years"	"85+"	13749	86409	15911.5
	"1999"	"1999"	"Georgia"	"13"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Hawaii"	"15"	"< 1 year"	"1"	120	15523	773.0
	"1999"	"1999"	"Hawaii"	"15"	"1-4 years"	"1-4"	15	64222	23.4 (Unreliable)
	"1999"	"1999"	"Hawaii"	"15"	"5-9 years"	"5-9"	Suppressed	86991	Suppressed
	"1999"	"1999"	"Hawaii"	"15"	"10-14 years"	"10-14"	Suppressed	82785	Suppressed
	"1999"	"1999"	"Hawaii"	"15"	"15-19 years"	"15-19"	36	81529	44.2
	"1999"	"1999"	"Hawaii"	"15"	"20-24 years"	"20-24"	46	82715	55.6
	"1999"	"1999"	"Hawaii"	"15"	"25-34 years"	"25-34"	157	174184	90.1
	"1999"	"1999"	"Hawaii"	"15"	"35-44 years"	"35-44"	316	193008	163.7
	"1999"	"1999"	"Hawaii"	"15"	"45-54 years"	"45-54"	578	167257	345.6
	"1999"	"1999"	"Hawaii"	"15"	"55-64 years"	"55-64"	854	103642	824.0
	"1999"	"1999"	"Hawaii"	"15"	"65-74 years"	"65-74"	1579	85462	1847.6
	"1999"	"1999"	"Hawaii"	"15"	"75-84 years"	"75-84"	2413	56074	4303.2
	"1999"	"1999"	"Hawaii"	"15"	"85+ years"	"85+"	2141	16908	12662.6
	"1999"	"1999"	"Hawaii"	"15"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Idaho"	"16"	"< 1 year"	"1"	134	19493	687.4
	"1999"	"1999"	"Idaho"	"16"	"1-4 years"	"1-4"	29	76693	37.8
	"1999"	"1999"	"Idaho"	"16"	"5-9 years"	"5-9"	24	99729	24.1
	"1999"	"1999"	"Idaho"	"16"	"10-14 years"	"10-14"	33	103979	31.7
	"1999"	"1999"	"Idaho"	"16"	"15-19 years"	"15-19"	96	111587	86.0
	"1999"	"1999"	"Idaho"	"16"	"20-24 years"	"20-24"	80	92437	86.5
	"1999"	"1999"	"Idaho"	"16"	"25-34 years"	"25-34"	157	164835	95.2
	"1999"	"1999"	"Idaho"	"16"	"35-44 years"	"35-44"	308	193496	159.2
	"1999"	"1999"	"Idaho"	"16"	"45-54 years"	"45-54"	543	164613	329.9
	"1999"	"1999"	"Idaho"	"16"	"55-64 years"	"55-64"	873	104652	834.2
	"1999"	"1999"	"Idaho"	"16"	"65-74 years"	"65-74"	1640	75364	2176.1
	"1999"	"1999"	"Idaho"	"16"	"75-84 years"	"75-84"	2860	51252	5580.3
	"1999"	"1999"	"Idaho"	"16"	"85+ years"	"85+"	2801	17544	15965.6
	"1999"	"1999"	"Idaho"	"16"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Illinois"	"17"	"< 1 year"	"1"	1550	173288	894.5
	"1999"	"1999"	"Illinois"	"17"	"1-4 years"	"1-4"	256	708678	36.1
	"1999"	"1999"	"Illinois"	"17"	"5-9 years"	"5-9"	142	929962	15.3
	"1999"	"1999"	"Illinois"	"17"	"10-14 years"	"10-14"	158	893453	17.7
	"1999"	"1999"	"Illinois"	"17"	"15-19 years"	"15-19"	673	893729	75.3
	"1999"	"1999"	"Illinois"	"17"	"20-24 years"	"20-24"	821	833765	98.5
	"1999"	"1999"	"Illinois"	"17"	"25-34 years"	"25-34"	1901	1825711	104.1
	"1999"	"1999"	"Illinois"	"17"	"35-44 years"	"35-44"	3914	1987201	197.0
	"1999"	"1999"	"Illinois"	"17"	"45-54 years"	"45-54"	6687	1584101	422.1
	"1999"	"1999"	"Illinois"	"17"	"55-64 years"	"55-64"	10728	1029288	1042.3
	"1999"	"1999"	"Illinois"	"17"	"65-74 years"	"65-74"	20027	778076	2573.9
	"1999"	"1999"	"Illinois"	"17"	"75-84 years"	"75-84"	31492	533368	5904.4
	"1999"	"1999"	"Illinois"	"17"	"85+ years"	"85+"	30084	188400	15968.2
	"1999"	"1999"	"Illinois"	"17"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Indiana"	"18"	"< 1 year"	"1"	686	83904	817.6
	"1999"	"1999"	"Indiana"	"18"	"1-4 years"	"1-4"	142	337001	42.1
	"1999"	"1999"	"Indiana"	"18"	"5-9 years"	"5-9"	89	440415	20.2
	"1999"	"1999"	"Indiana"	"18"	"10-14 years"	"10-14"	101	439078	23.0
	"1999"	"1999"	"Indiana"	"18"	"15-19 years"	"15-19"	339	455151	74.5
	"1999"	"1999"	"Indiana"	"18"	"20-24 years"	"20-24"	369	420595	87.7
	"1999"	"1999"	"Indiana"	"18"	"25-34 years"	"25-34"	905	836943	108.1
	"1999"	"1999"	"Indiana"	"18"	"35-44 years"	"35-44"	1774	962267	184.4
	"1999"	"1999"	"Indiana"	"18"	"45-54 years"	"45-54"	3386	795740	425.5
	"1999"	"1999"	"Indiana"	"18"	"55-64 years"	"55-64"	5546	522962	1060.5
	"1999"	"1999"	"Indiana"	"18"	"65-74 years"	"65-74"	10909	397080	2747.3
	"1999"	"1999"	"Indiana"	"18"	"75-84 years"	"75-84"	16254	263559	6167.1
	"1999"	"1999"	"Indiana"	"18"	"85+ years"	"85+"	14799	90274	16393.4
	"1999"	"1999"	"Indiana"	"18"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Iowa"	"19"	"< 1 year"	"1"	215	36894	582.8
	"1999"	"1999"	"Iowa"	"19"	"1-4 years"	"1-4"	47	149836	31.4
	"1999"	"1999"	"Iowa"	"19"	"5-9 years"	"5-9"	33	202438	16.3
	"1999"	"1999"	"Iowa"	"19"	"10-14 years"	"10-14"	37	210410	17.6
	"1999"	"1999"	"Iowa"	"19"	"15-19 years"	"15-19"	154	228268	67.5
	"1999"	"1999"	"Iowa"	"19"	"20-24 years"	"20-24"	155	199745	77.6
	"1999"	"1999"	"Iowa"	"19"	"25-34 years"	"25-34"	315	366236	86.0
	"1999"	"1999"	"Iowa"	"19"	"35-44 years"	"35-44"	660	448486	147.2
	"1999"	"1999"	"Iowa"	"19"	"45-54 years"	"45-54"	1213	382540	317.1
	"1999"	"1999"	"Iowa"	"19"	"55-64 years"	"55-64"	2231	255776	872.2
	"1999"	"1999"	"Iowa"	"19"	"65-74 years"	"65-74"	4768	213277	2235.6
	"1999"	"1999"	"Iowa"	"19"	"75-84 years"	"75-84"	8692	158946	5468.5
	"1999"	"1999"	"Iowa"	"19"	"85+ years"	"85+"	9891	64782	15268.1
	"1999"	"1999"	"Iowa"	"19"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Kansas"	"20"	"< 1 year"	"1"	283	37717	750.3
	"1999"	"1999"	"Kansas"	"20"	"1-4 years"	"1-4"	62	149485	41.5
	"1999"	"1999"	"Kansas"	"20"	"5-9 years"	"5-9"	28	196167	14.3
	"1999"	"1999"	"Kansas"	"20"	"10-14 years"	"10-14"	52	204242	25.5
	"1999"	"1999"	"Kansas"	"20"	"15-19 years"	"15-19"	148	210417	70.3
	"1999"	"1999"	"Kansas"	"20"	"20-24 years"	"20-24"	181	185908	97.4
	"1999"	"1999"	"Kansas"	"20"	"25-34 years"	"25-34"	341	351887	96.9
	"1999"	"1999"	"Kansas"	"20"	"35-44 years"	"35-44"	708	423950	167.0
	"1999"	"1999"	"Kansas"	"20"	"45-54 years"	"45-54"	1294	344157	376.0
	"1999"	"1999"	"Kansas"	"20"	"55-64 years"	"55-64"	2179	217720	1000.8
	"1999"	"1999"	"Kansas"	"20"	"65-74 years"	"65-74"	4222	177263	2381.8
	"1999"	"1999"	"Kansas"	"20"	"75-84 years"	"75-84"	6987	127928	5461.7
	"1999"	"1999"	"Kansas"	"20"	"85+ years"	"85+"	7987	51497	15509.6
	"1999"	"1999"	"Kansas"	"20"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Kentucky"	"21"	"< 1 year"	"1"	411	52771	778.8
	"1999"	"1999"	"Kentucky"	"21"	"1-4 years"	"1-4"	59	212762	27.7
	"1999"	"1999"	"Kentucky"	"21"	"5-9 years"	"5-9"	54	279246	19.3
	"1999"	"1999"	"Kentucky"	"21"	"10-14 years"	"10-14"	67	279093	24.0
	"1999"	"1999"	"Kentucky"	"21"	"15-19 years"	"15-19"	233	292505	79.7
	"1999"	"1999"	"Kentucky"	"21"	"20-24 years"	"20-24"	226	280619	80.5
	"1999"	"1999"	"Kentucky"	"21"	"25-34 years"	"25-34"	655	570025	114.9
	"1999"	"1999"	"Kentucky"	"21"	"35-44 years"	"35-44"	1378	641288	214.9
	"1999"	"1999"	"Kentucky"	"21"	"45-54 years"	"45-54"	2556	541439	472.1
	"1999"	"1999"	"Kentucky"	"21"	"55-64 years"	"55-64"	4497	365988	1228.7
	"1999"	"1999"	"Kentucky"	"21"	"65-74 years"	"65-74"	7942	274018	2898.3
	"1999"	"1999"	"Kentucky"	"21"	"75-84 years"	"75-84"	11267	170785	6597.2
	"1999"	"1999"	"Kentucky"	"21"	"85+ years"	"85+"	9973	57514	17340.1
	"1999"	"1999"	"Kentucky"	"21"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Louisiana"	"22"	"< 1 year"	"1"	621	64309	965.7
	"1999"	"1999"	"Louisiana"	"22"	"1-4 years"	"1-4"	125	253052	49.4
	"1999"	"1999"	"Louisiana"	"22"	"5-9 years"	"5-9"	70	339437	20.6
	"1999"	"1999"	"Louisiana"	"22"	"10-14 years"	"10-14"	117	350265	33.4
	"1999"	"1999"	"Louisiana"	"22"	"15-19 years"	"15-19"	336	369278	91.0
	"1999"	"1999"	"Louisiana"	"22"	"20-24 years"	"20-24"	422	321955	131.1
	"1999"	"1999"	"Louisiana"	"22"	"25-34 years"	"25-34"	957	608582	157.3
	"1999"	"1999"	"Louisiana"	"22"	"35-44 years"	"35-44"	1922	696307	276.0
	"1999"	"1999"	"Louisiana"	"22"	"45-54 years"	"45-54"	3161	570443	554.1
	"1999"	"1999"	"Louisiana"	"22"	"55-64 years"	"55-64"	4677	373236	1253.1
	"1999"	"1999"	"Louisiana"	"22"	"65-74 years"	"65-74"	8272	283633	2916.4
	"1999"	"1999"	"Louisiana"	"22"	"75-84 years"	"75-84"	11020	172924	6372.7
	"1999"	"1999"	"Louisiana"	"22"	"85+ years"	"85+"	9538	57390	16619.6
	"1999"	"1999"	"Louisiana"	"22"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Maine"	"23"	"< 1 year"	"1"	66	13349	494.4
	"1999"	"1999"	"Maine"	"23"	"1-4 years"	"1-4"	12	57179	21.0 (Unreliable)
	"1999"	"1999"	"Maine"	"23"	"5-9 years"	"5-9"	10	84608	11.8 (Unreliable)
	"1999"	"1999"	"Maine"	"23"	"10-14 years"	"10-14"	20	92200	21.7
	"1999"	"1999"	"Maine"	"23"	"15-19 years"	"15-19"	68	89060	76.4
	"1999"	"1999"	"Maine"	"23"	"20-24 years"	"20-24"	56	69702	80.3
	"1999"	"1999"	"Maine"	"23"	"25-34 years"	"25-34"	142	159336	89.1
	"1999"	"1999"	"Maine"	"23"	"35-44 years"	"35-44"	309	213530	144.7
	"1999"	"1999"	"Maine"	"23"	"45-54 years"	"45-54"	633	186351	339.7
	"1999"	"1999"	"Maine"	"23"	"55-64 years"	"55-64"	1117	119812	932.3
	"1999"	"1999"	"Maine"	"23"	"65-74 years"	"65-74"	2412	95974	2513.2
	"1999"	"1999"	"Maine"	"23"	"75-84 years"	"75-84"	3700	62824	5889.5
	"1999"	"1999"	"Maine"	"23"	"85+ years"	"85+"	3716	22883	16239.1
	"1999"	"1999"	"Maine"	"23"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Maryland"	"24"	"< 1 year"	"1"	601	69781	861.3
	"1999"	"1999"	"Maryland"	"24"	"1-4 years"	"1-4"	84	284850	29.5
	"1999"	"1999"	"Maryland"	"24"	"5-9 years"	"5-9"	59	394395	15.0
	"1999"	"1999"	"Maryland"	"24"	"10-14 years"	"10-14"	70	383228	18.3
	"1999"	"1999"	"Maryland"	"24"	"15-19 years"	"15-19"	293	350607	83.6
	"1999"	"1999"	"Maryland"	"24"	"20-24 years"	"20-24"	347	307768	112.7
	"1999"	"1999"	"Maryland"	"24"	"25-34 years"	"25-34"	929	763937	121.6
	"1999"	"1999"	"Maryland"	"24"	"35-44 years"	"35-44"	2103	911449	230.7
	"1999"	"1999"	"Maryland"	"24"	"45-54 years"	"45-54"	3179	734690	432.7
	"1999"	"1999"	"Maryland"	"24"	"55-64 years"	"55-64"	4529	458782	987.2
	"1999"	"1999"	"Maryland"	"24"	"65-74 years"	"65-74"	8166	321571	2539.4
	"1999"	"1999"	"Maryland"	"24"	"75-84 years"	"75-84"	12292	207898	5912.5
	"1999"	"1999"	"Maryland"	"24"	"85+ years"	"85+"	10411	65553	15881.8
	"1999"	"1999"	"Maryland"	"24"	"Not Stated"	"NS"	26	Not Applicable	Not Applicable
	"1999"	"1999"	"Massachusetts"	"25"	"< 1 year"	"1"	417	77731	536.5
