"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	54352	4887871	1112.0
	"2018"	"2018"	"Alaska"	"02"	4453	737438	603.8
	"2018"	"2018"	"Arizona"	"04"	59282	7171646	826.6
	"2018"	"2018"	"Arkansas"	"05"	32336	3013825	1072.9
	"2018"	"2018"	"California"	"06"	268818	39557045	679.6
	"2018"	"2018"	"Colorado"	"08"	38526	5695564	676.4
	"2018"	"2018"	"Connecticut"	"09"	31230	3572665	874.1
	"2018"	"2018"	"Delaware"	"10"	9433	967171	975.3
	"2018"	"2018"	"District of Columbia"	"11"	5008	702455	712.9
	"2018"	"2018"	"Florida"	"12"	205426	21299325	964.5
	"2018"	"2018"	"Georgia"	"13"	85202	10519475	809.9
	"2018"	"2018"	"Hawaii"	"15"	11415	1420491	803.6
	"2018"	"2018"	"Idaho"	"16"	14261	1754208	813.0
	"2018"	"2018"	"Illinois"	"17"	110022	12741080	863.5
	"2018"	"2018"	"Indiana"	"18"	65693	6691878	981.7
	"2018"	"2018"	"Iowa"	"19"	30367	3156145	962.2
	"2018"	"2018"	"Kansas"	"20"	27537	2911505	945.8
	"2018"	"2018"	"Kentucky"	"21"	48707	4468402	1090.0
	"2018"	"2018"	"Louisiana"	"22"	46048	4659978	988.2
	"2018"	"2018"	"Maine"	"23"	14715	1338404	1099.4
	"2018"	"2018"	"Maryland"	"24"	50568	6042718	836.8
	"2018"	"2018"	"Massachusetts"	"25"	59152	6902149	857.0
	"2018"	"2018"	"Michigan"	"26"	98903	9995915	989.4
	"2018"	"2018"	"Minnesota"	"27"	44745	5611179	797.4
	"2018"	"2018"	"Mississippi"	"28"	32301	2986530	1081.6
	"2018"	"2018"	"Missouri"	"29"	63117	6126452	1030.2
	"2018"	"2018"	"Montana"	"30"	9992	1062305	940.6
	"2018"	"2018"	"Nebraska"	"31"	16904	1929268	876.2
	"2018"	"2018"	"Nevada"	"32"	24715	3034392	814.5
	"2018"	"2018"	"New Hampshire"	"33"	12774	1356458	941.7
	"2018"	"2018"	"New Jersey"	"34"	75765	8908520	850.5
	"2018"	"2018"	"New Mexico"	"35"	19007	2095428	907.1
	"2018"	"2018"	"New York"	"36"	157183	19542209	804.3
	"2018"	"2018"	"North Carolina"	"37"	93885	10383620	904.2
	"2018"	"2018"	"North Dakota"	"38"	6445	760077	847.9
	"2018"	"2018"	"Ohio"	"39"	124264	11689442	1063.0
	"2018"	"2018"	"Oklahoma"	"40"	40933	3943079	1038.1
	"2018"	"2018"	"Oregon"	"41"	36187	4190713	863.5
	"2018"	"2018"	"Pennsylvania"	"42"	134702	12807060	1051.8
	"2018"	"2018"	"Rhode Island"	"44"	10083	1057315	953.6
	"2018"	"2018"	"South Carolina"	"45"	50640	5084127	996.0
	"2018"	"2018"	"South Dakota"	"46"	7971	882235	903.5
	"2018"	"2018"	"Tennessee"	"47"	71078	6770010	1049.9
	"2018"	"2018"	"Texas"	"48"	202211	28701845	704.5
	"2018"	"2018"	"Utah"	"49"	18354	3161105	580.6
	"2018"	"2018"	"Vermont"	"50"	6027	626299	962.3
	"2018"	"2018"	"Virginia"	"51"	69359	8517685	814.3
	"2018"	"2018"	"Washington"	"53"	56877	7535591	754.8
	"2018"	"2018"	"West Virginia"	"54"	23478	1805832	1300.1
	"2018"	"2018"	"Wisconsin"	"55"	53684	5813568	923.4
	"2018"	"2018"	"Wyoming"	"56"	5070	577737	877.6
"Total"	"2018"	"2018"			2839205	327167434	867.8
	"2019"	"2019"	"Alabama"	"01"	54108	4903185	1103.5
	"2019"	"2019"	"Alaska"	"02"	4613	731545	630.6
	"2019"	"2019"	"Arizona"	"04"	60236	7278717	827.6
	"2019"	"2019"	"Arkansas"	"05"	32888	3017804	1089.8
	"2019"	"2019"	"California"	"06"	269831	39512223	682.9
	"2019"	"2019"	"Colorado"	"08"	39390	5758736	684.0
	"2019"	"2019"	"Connecticut"	"09"	31745	3565287	890.4
	"2019"	"2019"	"Delaware"	"10"	9302	973764	955.3
	"2019"	"2019"	"District of Columbia"	"11"	4927	705749	698.1
	"2019"	"2019"	"Florida"	"12"	207002	21477737	963.8
	"2019"	"2019"	"Georgia"	"13"	85814	10617423	808.2
	"2019"	"2019"	"Hawaii"	"15"	11559	1415872	816.4
	"2019"	"2019"	"Idaho"	"16"	14430	1787065	807.5
	"2019"	"2019"	"Illinois"	"17"	109096	12671821	860.9
	"2019"	"2019"	"Indiana"	"18"	66001	6732219	980.4
	"2019"	"2019"	"Iowa"	"19"	30867	3155070	978.3
	"2019"	"2019"	"Kansas"	"20"	27682	2913314	950.2
	"2019"	"2019"	"Kentucky"	"21"	48990	4467673	1096.5
	"2019"	"2019"	"Louisiana"	"22"	45938	4648794	988.2
	"2019"	"2019"	"Maine"	"23"	15065	1344212	1120.7
	"2019"	"2019"	"Maryland"	"24"	50800	6045680	840.3
	"2019"	"2019"	"Massachusetts"	"25"	58630	6892503	850.6
	"2019"	"2019"	"Michigan"	"26"	99084	9986857	992.1
	"2019"	"2019"	"Minnesota"	"27"	45514	5639632	807.0
	"2019"	"2019"	"Mississippi"	"28"	32964	2976149	1107.6
	"2019"	"2019"	"Missouri"	"29"	62401	6137428	1016.7
	"2019"	"2019"	"Montana"	"30"	10402	1068778	973.3
	"2019"	"2019"	"Nebraska"	"31"	16970	1934408	877.3
	"2019"	"2019"	"Nevada"	"32"	25586	3080156	830.7
	"2019"	"2019"	"New Hampshire"	"33"	12744	1359711	937.3
	"2019"	"2019"	"New Jersey"	"34"	75010	8882190	844.5
	"2019"	"2019"	"New Mexico"	"35"	19512	2096829	930.5
	"2019"	"2019"	"New York"	"36"	156375	19453561	803.8
	"2019"	"2019"	"North Carolina"	"37"	95881	10488084	914.2
	"2019"	"2019"	"North Dakota"	"38"	6702	762062	879.5
	"2019"	"2019"	"Ohio"	"39"	123717	11689100	1058.4
	"2019"	"2019"	"Oklahoma"	"40"	40930	3956971	1034.4
	"2019"	"2019"	"Oregon"	"41"	37370	4217737	886.0
	"2019"	"2019"	"Pennsylvania"	"42"	133983	12801989	1046.6
	"2019"	"2019"	"Rhode Island"	"44"	10256	1059361	968.1
	"2019"	"2019"	"South Carolina"	"45"	50962	5148714	989.8
	"2019"	"2019"	"South Dakota"	"46"	8270	884659	934.8
	"2019"	"2019"	"Tennessee"	"47"	71935	6829174	1053.3
	"2019"	"2019"	"Texas"	"48"	203362	28995881	701.3
	"2019"	"2019"	"Utah"	"49"	18736	3205958	584.4
	"2019"	"2019"	"Vermont"	"50"	5956	623989	954.5
	"2019"	"2019"	"Virginia"	"51"	70325	8535519	823.9
	"2019"	"2019"	"Washington"	"53"	58263	7614893	765.1
	"2019"	"2019"	"West Virginia"	"54"	23404	1792147	1305.9
	"2019"	"2019"	"Wisconsin"	"55"	54189	5822434	930.7
	"2019"	"2019"	"Wyoming"	"56"	5121	578759	884.8
"Total"	"2019"	"2019"			2854838	328239523	869.7
	"2020"	"2020"	"Alabama"	"01"	64779	4921532	1316.2
	"2020"	"2020"	"Alaska"	"02"	5170	731158	707.1
	"2020"	"2020"	"Arizona"	"04"	75747	7421401	1020.7
	"2020"	"2020"	"Arkansas"	"05"	38108	3030522	1257.5
	"2020"	"2020"	"California"	"06"	319808	39368078	812.4
	"2020"	"2020"	"Colorado"	"08"	46918	5807719	807.9
	"2020"	"2020"	"Connecticut"	"09"	37853	3557006	1064.2
	"2020"	"2020"	"Delaware"	"10"	11072	986809	1122.0
	"2020"	"2020"	"District of Columbia"	"11"	6198	712816	869.5
	"2020"	"2020"	"Florida"	"12"	239685	21733312	1102.8
	"2020"	"2020"	"Georgia"	"13"	103075	10710017	962.4
	"2020"	"2020"	"Hawaii"	"15"	12033	1407006	855.2
	"2020"	"2020"	"Idaho"	"16"	16402	1826913	897.8
	"2020"	"2020"	"Illinois"	"17"	132663	12587530	1053.9
	"2020"	"2020"	"Indiana"	"18"	78194	6754953	1157.6
	"2020"	"2020"	"Iowa"	"19"	35981	3163561	1137.4
	"2020"	"2020"	"Kansas"	"20"	32060	2913805	1100.3
	"2020"	"2020"	"Kentucky"	"21"	55880	4477251	1248.1
	"2020"	"2020"	"Louisiana"	"22"	56752	4645318	1221.7
	"2020"	"2020"	"Maine"	"23"	15740	1350141	1165.8
	"2020"	"2020"	"Maryland"	"24"	60072	6055802	992.0
	"2020"	"2020"	"Massachusetts"	"25"	68223	6893574	989.7
	"2020"	"2020"	"Michigan"	"26"	117106	9966555	1175.0
	"2020"	"2020"	"Minnesota"	"27"	52372	5657342	925.7
	"2020"	"2020"	"Mississippi"	"28"	40190	2966786	1354.7
	"2020"	"2020"	"Missouri"	"29"	73887	6151548	1201.1
	"2020"	"2020"	"Montana"	"30"	12027	1080577	1113.0
	"2020"	"2020"	"Nebraska"	"31"	19549	1937552	1009.0
	"2020"	"2020"	"Nevada"	"32"	30618	3138259	975.6
	"2020"	"2020"	"New Hampshire"	"33"	13700	1366275	1002.7
	"2020"	"2020"	"New Jersey"	"34"	96003	8882371	1080.8
	"2020"	"2020"	"New Mexico"	"35"	23807	2106319	1130.3
	"2020"	"2020"	"New York"	"36"	203341	19336776	1051.6
	"2020"	"2020"	"North Carolina"	"37"	109449	10600823	1032.5
	"2020"	"2020"	"North Dakota"	"38"	8052	765309	1052.1
	"2020"	"2020"	"Ohio"	"39"	143700	11693217	1228.9
	"2020"	"2020"	"Oklahoma"	"40"	47809	3980783	1201.0
	"2020"	"2020"	"Oregon"	"41"	40220	4241507	948.2
	"2020"	"2020"	"Pennsylvania"	"42"	155546	12783254	1216.8
	"2020"	"2020"	"Rhode Island"	"44"	11819	1057125	1118.0
	"2020"	"2020"	"South Carolina"	"45"	61223	5218040	1173.3
	"2020"	"2020"	"South Dakota"	"46"	9861	892717	1104.6
