"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	76263	3501564	2178.0
	"1968"	"1968"	"1-4 years"	"1-4"	13038	14547000	89.6
	"1968"	"1968"	"5-9 years"	"5-9"	9075	20414000	44.5
	"1968"	"1968"	"10-14 years"	"10-14"	8467	20357000	41.6
	"1968"	"1968"	"15-19 years"	"15-19"	19667	18190000	108.1
	"1968"	"1968"	"20-24 years"	"20-24"	21473	15055000	142.6
	"1968"	"1968"	"25-34 years"	"25-34"	37249	23702000	157.2
	"1968"	"1968"	"35-44 years"	"35-44"	75430	23588000	319.8
	"1968"	"1968"	"45-54 years"	"45-54"	170762	22728000	751.3
	"1968"	"1968"	"55-64 years"	"55-64"	308276	18087000	1704.4
	"1968"	"1968"	"65-74 years"	"65-74"	453546	12178000	3724.3
	"1968"	"1968"	"75-84 years"	"75-84"	493130	5946000	8293.5
	"1968"	"1968"	"85+ years"	"85+"	243021	1240000	19598.5
	"1968"	"1968"	"Not Stated"	"NS"	685	Not Applicable	Not Applicable
"Total"	"1968"	"1968"			1930082	199533564	967.3
	"1969"	"1969"	"< 1 year"	"1"	75073	3600206	2085.2
	"1969"	"1969"	"1-4 years"	"1-4"	12290	13963000	88.0
	"1969"	"1969"	"5-9 years"	"5-9"	8901	20242000	44.0
	"1969"	"1969"	"10-14 years"	"10-14"	8530	20641000	41.3
	"1969"	"1969"	"15-19 years"	"15-19"	21141	18621000	113.5
	"1969"	"1969"	"20-24 years"	"20-24"	23281	15767000	147.7
	"1969"	"1969"	"25-34 years"	"25-34"	38724	24406000	158.7
	"1969"	"1969"	"35-44 years"	"35-44"	74710	23242000	321.4
	"1969"	"1969"	"45-54 years"	"45-54"	168624	23018000	732.6
	"1969"	"1969"	"55-64 years"	"55-64"	305504	18389000	1661.3
	"1969"	"1969"	"65-74 years"	"65-74"	446864	12301000	3632.7
	"1969"	"1969"	"75-84 years"	"75-84"	491681	6071000	8098.8
	"1969"	"1969"	"85+ years"	"85+"	246001	1307000	18821.8
	"1969"	"1969"	"Not Stated"	"NS"	666	Not Applicable	Not Applicable
"Total"	"1969"	"1969"			1921990	201568206	953.5
	"1970"	"1970"	"< 1 year"	"1"	74667	3731386	2001.1
	"1970"	"1970"	"1-4 years"	"1-4"	11548	13669060	84.5
	"1970"	"1970"	"5-9 years"	"5-9"	8401	19956247	42.1
	"1970"	"1970"	"10-14 years"	"10-14"	8446	20789468	40.6
	"1970"	"1970"	"15-19 years"	"15-19"	21029	19070348	110.3
	"1970"	"1970"	"20-24 years"	"20-24"	24232	16371021	148.0
	"1970"	"1970"	"25-34 years"	"25-34"	39193	24907429	157.4
	"1970"	"1970"	"35-44 years"	"35-44"	72617	23087805	314.5
	"1970"	"1970"	"45-54 years"	"45-54"	169517	23219957	730.0
	"1970"	"1970"	"55-64 years"	"55-64"	308373	18589812	1658.8
	"1970"	"1970"	"65-74 years"	"65-74"	445531	12435456	3582.7
	"1970"	"1970"	"75-84 years"	"75-84"	489803	6119145	8004.4
	"1970"	"1970"	"85+ years"	"85+"	246955	1510901	16344.9
