Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate,Alabama!!Total!!Estimate,Alabama!!Male!!Estimate,Alabama!!Female!!Estimate,Alaska!!Total!!Estimate,Alaska!!Male!!Estimate,Alaska!!Female!!Estimate,Arizona!!Total!!Estimate,Arizona!!Male!!Estimate,Arizona!!Female!!Estimate,Arkansas!!Total!!Estimate,Arkansas!!Male!!Estimate,Arkansas!!Female!!Estimate,California!!Total!!Estimate,California!!Male!!Estimate,California!!Female!!Estimate,Colorado!!Total!!Estimate,Colorado!!Male!!Estimate,Colorado!!Female!!Estimate,Connecticut!!Total!!Estimate,Connecticut!!Male!!Estimate,Connecticut!!Female!!Estimate,Delaware!!Total!!Estimate,Delaware!!Male!!Estimate,Delaware!!Female!!Estimate,District of Columbia!!Total!!Estimate,District of Columbia!!Male!!Estimate,District of Columbia!!Female!!Estimate,Florida!!Total!!Estimate,Florida!!Male!!Estimate,Florida!!Female!!Estimate,Georgia!!Total!!Estimate,Georgia!!Male!!Estimate,Georgia!!Female!!Estimate,Hawaii!!Total!!Estimate,Hawaii!!Male!!Estimate,Hawaii!!Female!!Estimate,Idaho!!Total!!Estimate,Idaho!!Male!!Estimate,Idaho!!Female!!Estimate,Illinois!!Total!!Estimate,Illinois!!Male!!Estimate,Illinois!!Female!!Estimate,Indiana!!Total!!Estimate,Indiana!!Male!!Estimate,Indiana!!Female!!Estimate,Iowa!!Total!!Estimate,Iowa!!Male!!Estimate,Iowa!!Female!!Estimate,Kansas!!Total!!Estimate,Kansas!!Male!!Estimate,Kansas!!Female!!Estimate,Kentucky!!Total!!Estimate,Kentucky!!Male!!Estimate,Kentucky!!Female!!Estimate,Louisiana!!Total!!Estimate,Louisiana!!Male!!Estimate,Louisiana!!Female!!Estimate,Maine!!Total!!Estimate,Maine!!Male!!Estimate,Maine!!Female!!Estimate,Maryland!!Total!!Estimate,Maryland!!Male!!Estimate,Maryland!!Female!!Estimate,Massachusetts!!Total!!Estimate,Massachusetts!!Male!!Estimate,Massachusetts!!Female!!Estimate,Michigan!!Total!!Estimate,Michigan!!Male!!Estimate,Michigan!!Female!!Estimate,Minnesota!!Total!!Estimate,Minnesota!!Male!!Estimate,Minnesota!!Female!!Estimate,Mississippi!!Total!!Estimate,Mississippi!!Male!!Estimate,Mississippi!!Female!!Estimate,Missouri!!Total!!Estimate,Missouri!!Male!!Estimate,Missouri!!Female!!Estimate,Montana!!Total!!Estimate,Montana!!Male!!Estimate,Montana!!Female!!Estimate,Nebraska!!Total!!Estimate,Nebraska!!Male!!Estimate,Nebraska!!Female!!Estimate,Nevada!!Total!!Estimate,Nevada!!Male!!Estimate,Nevada!!Female!!Estimate,New Hampshire!!Total!!Estimate,New Hampshire!!Male!!Estimate,New Hampshire!!Female!!Estimate,New Jersey!!Total!!Estimate,New Jersey!!Male!!Estimate,New Jersey!!Female!!Estimate,New Mexico!!Total!!Estimate,New Mexico!!Male!!Estimate,New Mexico!!Female!!Estimate,New York!!Total!!Estimate,New York!!Male!!Estimate,New York!!Female!!Estimate,North Carolina!!Total!!Estimate,North Carolina!!Male!!Estimate,North Carolina!!Female!!Estimate,North Dakota!!Total!!Estimate,North Dakota!!Male!!Estimate,North Dakota!!Female!!Estimate,Ohio!!Total!!Estimate,Ohio!!Male!!Estimate,Ohio!!Female!!Estimate,Oklahoma!!Total!!Estimate,Oklahoma!!Male!!Estimate,Oklahoma!!Female!!Estimate,Oregon!!Total!!Estimate,Oregon!!Male!!Estimate,Oregon!!Female!!Estimate,Pennsylvania!!Total!!Estimate,Pennsylvania!!Male!!Estimate,Pennsylvania!!Female!!Estimate,Rhode Island!!Total!!Estimate,Rhode Island!!Male!!Estimate,Rhode Island!!Female!!Estimate,South Carolina!!Total!!Estimate,South Carolina!!Male!!Estimate,South Carolina!!Female!!Estimate,South Dakota!!Total!!Estimate,South Dakota!!Male!!Estimate,South Dakota!!Female!!Estimate,Tennessee!!Total!!Estimate,Tennessee!!Male!!Estimate,Tennessee!!Female!!Estimate,Texas!!Total!!Estimate,Texas!!Male!!Estimate,Texas!!Female!!Estimate,Utah!!Total!!Estimate,Utah!!Male!!Estimate,Utah!!Female!!Estimate,Vermont!!Total!!Estimate,Vermont!!Male!!Estimate,Vermont!!Female!!Estimate,Virginia!!Total!!Estimate,Virginia!!Male!!Estimate,Virginia!!Female!!Estimate,Washington!!Total!!Estimate,Washington!!Male!!Estimate,Washington!!Female!!Estimate,West Virginia!!Total!!Estimate,West Virginia!!Male!!Estimate,West Virginia!!Female!!Estimate,Wisconsin!!Total!!Estimate,Wisconsin!!Male!!Estimate,Wisconsin!!Female!!Estimate,Wyoming!!Total!!Estimate,Wyoming!!Male!!Estimate,Wyoming!!Female!!Estimate,American Samoa!!Total!!Estimate,American Samoa!!Male!!Estimate,American Samoa!!Female!!Estimate,Guam!!Total!!Estimate,Guam!!Male!!Estimate,Guam!!Female!!Estimate,Commonwealth of the Northern Mariana Islands!!Total!!Estimate,Commonwealth of the Northern Mariana Islands!!Male!!Estimate,Commonwealth of the Northern Mariana Islands!!Female!!Estimate,Puerto Rico!!Total!!Estimate,Puerto Rico!!Male!!Estimate,Puerto Rico!!Female!!Estimate,United States Virgin Islands!!Total!!Estimate,United States Virgin Islands!!Male!!Estimate,United States Virgin Islands!!Female!!Estimate
Total population,306603772,150740216,155863556,4747424,2302958,2444466,700703,363548,337155,6337373,3152339,3185034,2895928,1421287,1474641,36969200,18387718,18581482,4966061,2489370,2476691,3558172,1731389,1826783,890856,432225,458631,593955,280675,313280,18688787,9138819,9549968,9600612,4691368,4909244,1346554,674569,671985,1549987,776969,773018,12790182,6272579,6517603,6454254,3175252,3279002,3032266,1498400,1533866,2830985,1403192,1427793,4316040,2120101,2195939,4484596,2193423,2291173,1328543,650339,678204,5736545,2774785,2961760,6512227,3150111,3362116,9920621,4867629,5052992,5278190,2620590,2657600,2956700,1434572,1522128,5955802,2915275,3040527,982854,492668,490186,1813061,898314,914747,2673396,1350934,1322462,1315911,649547,666364,8753064,4261485,4491579,2037136,1005646,1031490,19302448,9341547,9960901,9418736,4588579,4830157,666783,336763,330020,11525536,5624513,5901023,3714520,1838148,1876372,3801991,1882081,1919910,12660739,6167949,6492790,1053959,508799,545160,4575864,2227017,2348847,807697,404695,403002,6297991,3070555,3227436,24774187,12291119,12483068,2715379,1364170,1351209,624958,308125,316833,7926192,3891319,4034873,6652845,3314698,3338147,1846372,908648,937724,5664893,2810744,2854149,554697,282671,272026,,,,,,,,,,3742586,1793553,1949033,,,
AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Under 5 years,6.6%,6.8%,6.3%,6.4%,6.7%,6.1%,7.5%,7.5%,7.5%,7.3%,7.5%,7.1%,6.8%,7.1%,6.5%,6.9%,7.1%,6.7%,6.9%,7.0%,6.7%,5.7%,6.0%,5.4%,6.3%,6.6%,6.0%,5.6%,6.0%,5.2%,5.8%,6.0%,5.5%,7.2%,7.5%,6.9%,6.5%,6.7%,6.3%,7.7%,7.9%,7.6%,6.6%,6.8%,6.3%,6.7%,7.0%,6.5%,6.6%,6.8%,6.4%,7.1%,7.3%,6.9%,6.5%,6.7%,6.2%,6.9%,7.2%,6.6%,5.2%,5.5%,4.9%,6.4%,6.7%,6.0%,5.6%,6.0%,5.3%,6.1%,6.3%,5.8%,6.7%,6.9%,6.5%,7.1%,7.5%,6.7%,6.5%,6.8%,6.2%,6.2%,6.3%,6.1%,7.2%,7.4%,7.0%,7.1%,7.2%,7.0%,5.4%,5.6%,5.2%,6.2%,6.5%,5.9%,7.1%,7.3%,6.8%,6.0%,6.3%,5.7%,6.7%,7.0%,6.3%,6.4%,6.5%,6.3%,6.3%,6.5%,6.0%,7.0%,7.2%,6.8%,6.2%,6.4%,6.0%,5.7%,6.0%,5.5%,5.5%,5.9%,5.2%,6.5%,6.8%,6.3%,7.1%,7.4%,6.9%,6.4%,6.7%,6.2%,7.8%,8.0%,7.5%,9.5%,9.7%,9.3%,5.1%,5.4%,4.9%,6.4%,6.6%,6.2%,6.5%,6.7%,6.3%,5.6%,5.9%,5.4%,6.3%,6.5%,6.1%,7.0%,7.1%,6.9%,,,,,,,,,,6.1%,6.5%,5.7%,,,
    5 to 9 years,6.6%,6.8%,6.4%,6.5%,6.8%,6.2%,7.1%,7.0%,7.1%,7.0%,7.1%,7.0%,6.8%,7.0%,6.5%,6.7%,6.9%,6.5%,6.9%,7.0%,6.8%,6.3%,6.6%,6.0%,6.3%,6.7%,6.0%,4.4%,4.7%,4.2%,5.8%,6.0%,5.6%,7.2%,7.5%,6.9%,6.0%,6.2%,5.8%,7.6%,7.6%,7.6%,6.7%,7.0%,6.5%,6.9%,7.1%,6.6%,6.6%,6.7%,6.4%,7.0%,7.3%,6.8%,6.5%,6.7%,6.3%,6.8%,7.0%,6.6%,5.6%,5.9%,5.3%,6.3%,6.6%,6.1%,6.0%,6.2%,5.7%,6.5%,6.8%,6.2%,6.6%,6.8%,6.4%,7.0%,7.4%,6.6%,6.5%,6.8%,6.2%,6.2%,6.3%,6.0%,6.9%,7.2%,6.6%,6.9%,7.0%,6.8%,6.0%,6.0%,5.9%,6.5%,6.7%,6.2%,6.9%,7.1%,6.7%,6.0%,6.3%,5.7%,6.7%,7.0%,6.3%,6.0%,6.1%,6.0%,6.5%,6.8%,6.3%,6.9%,7.1%,6.7%,6.3%,6.4%,6.1%,6.0%,6.3%,5.7%,5.8%,6.2%,5.4%,6.4%,6.7%,6.1%,6.6%,6.7%,6.5%,6.5%,6.7%,6.3%,7.6%,7.8%,7.4%,8.9%,9.1%,8.7%,5.6%,5.8%,5.3%,6.4%,6.6%,6.1%,6.4%,6.5%,6.2%,5.6%,5.8%,5.5%,6.4%,6.6%,6.3%,6.5%,6.7%,6.4%,,,,,,,,,,6.5%,7.0%,6.0%,,,
    10 to 14 years,6.7%,7.0%,6.4%,6.7%,7.1%,6.4%,7.3%,7.3%,7.4%,7.0%,7.4%,6.7%,6.8%,7.1%,6.5%,7.0%,7.2%,6.8%,6.5%,6.7%,6.4%,6.8%,7.1%,6.4%,6.3%,6.6%,6.0%,4.4%,4.7%,4.1%,6.0%,6.4%,5.7%,7.1%,7.4%,6.8%,6.1%,6.2%,6.0%,7.5%,7.8%,7.1%,6.9%,7.2%,6.6%,7.0%,7.3%,6.7%,6.6%,6.9%,6.3%,7.0%,7.2%,6.8%,6.6%,6.9%,6.2%,6.8%,7.2%,6.4%,6.1%,6.4%,5.8%,6.7%,7.0%,6.3%,6.2%,6.6%,5.9%,6.9%,7.2%,6.6%,6.7%,7.0%,6.5%,7.1%,7.4%,6.8%,6.7%,7.0%,6.4%,6.3%,6.5%,6.1%,6.8%,6.9%,6.7%,6.6%,6.7%,6.6%,6.5%,7.0%,6.1%,6.7%,7.1%,6.3%,7.0%,7.2%,6.8%,6.4%,6.7%,6.0%,6.7%,7.0%,6.4%,5.9%,6.0%,5.8%,6.7%,7.1%,6.4%,6.7%,7.0%,6.4%,6.3%,6.5%,6.1%,6.3%,6.6%,6.0%,6.2%,6.5%,5.9%,6.5%,6.8%,6.2%,6.8%,7.1%,6.6%,6.7%,7.1%,6.3%,7.4%,7.7%,7.2%,8.2%,8.3%,8.1%,6.1%,6.4%,5.8%,6.5%,6.7%,6.2%,6.6%,6.8%,6.4%,6.0%,6.3%,5.7%,6.7%,6.9%,6.5%,6.5%,6.6%,6.3%,,,,,,,,,,7.5%,7.9%,7.1%,,,
    15 to 19 years,7.2%,7.5%,6.9%,7.2%,7.6%,6.8%,7.6%,7.7%,7.6%,7.2%,7.5%,6.9%,7.1%,7.4%,6.7%,7.6%,7.9%,7.3%,6.9%,7.1%,6.6%,7.1%,7.5%,6.7%,7.2%,7.6%,6.8%,7.1%,6.9%,7.3%,6.6%,6.9%,6.2%,7.4%,7.8%,7.1%,6.4%,6.6%,6.2%,7.5%,7.6%,7.3%,7.2%,7.6%,6.9%,7.4%,7.7%,7.1%,7.3%,7.6%,7.0%,7.2%,7.5%,7.0%,6.9%,7.3%,6.6%,7.3%,7.6%,7.0%,6.8%,7.1%,6.4%,7.1%,7.6%,6.7%,7.2%,7.5%,6.9%,7.5%,7.9%,7.2%,7.1%,7.3%,6.8%,7.6%,7.9%,7.3%,7.2%,7.5%,6.9%,7.0%,7.1%,6.9%,7.2%,7.4%,7.0%,6.7%,6.8%,6.6%,7.3%,7.4%,7.1%,6.9%,7.3%,6.4%,7.4%,7.6%,7.1%,7.1%,7.5%,6.7%,7.0%,7.4%,6.6%,7.3%,7.6%,7.0%,7.2%,7.5%,6.9%,7.2%,7.4%,6.9%,6.7%,7.0%,6.5%,7.2%,7.6%,6.9%,7.6%,7.9%,7.4%,7.2%,7.5%,6.8%,7.3%,7.5%,7.0%,6.9%,7.3%,6.6%,7.5%,7.8%,7.2%,8.1%,8.1%,8.0%,7.5%,7.9%,7.1%,7.0%,7.3%,6.7%,6.9%,7.1%,6.7%,6.6%,6.9%,6.3%,7.1%,7.4%,6.9%,6.9%,7.1%,6.7%,,,,,,,,,,7.7%,8.2%,7.2%,,,
    20 to 24 years,7.0%,7.3%,6.7%,7.1%,7.3%,6.9%,7.9%,8.3%,7.4%,7.0%,7.3%,6.7%,6.9%,7.0%,6.7%,7.4%,7.8%,7.1%,7.0%,7.3%,6.7%,6.3%,6.6%,5.9%,7.0%,7.3%,6.7%,9.9%,9.6%,10.1%,6.6%,6.9%,6.3%,7.0%,7.4%,6.7%,7.1%,7.7%,6.5%,7.0%,7.2%,6.9%,6.9%,7.2%,6.6%,7.0%,7.2%,6.8%,7.0%,7.2%,6.8%,7.2%,7.6%,6.9%,6.7%,7.0%,6.5%,7.5%,7.7%,7.3%,6.0%,6.2%,5.8%,6.8%,7.1%,6.4%,7.1%,7.4%,6.9%,6.8%,7.0%,6.6%,6.8%,7.0%,6.6%,7.2%,7.5%,7.0%,6.9%,7.1%,6.7%,6.8%,7.1%,6.5%,7.2%,7.5%,6.9%,6.7%,6.8%,6.6%,6.4%,6.6%,6.2%,6.1%,6.4%,5.7%,7.1%,7.4%,6.8%,7.2%,7.5%,6.9%,6.9%,7.2%,6.6%,9.0%,9.5%,8.5%,6.6%,6.8%,6.4%,7.3%,7.6%,7.0%,6.7%,6.9%,6.5%,6.8%,7.0%,6.5%,7.7%,8.0%,7.4%,7.2%,7.5%,6.8%,7.2%,7.3%,7.0%,6.7%,6.9%,6.6%,7.3%,7.6%,7.0%,8.5%,8.6%,8.4%,7.1%,7.4%,6.8%,7.2%,7.5%,6.8%,6.9%,7.2%,6.6%,6.4%,6.7%,6.1%,6.9%,7.1%,6.7%,7.3%,7.6%,7.0%,,,,,,,,,,7.1%,7.4%,6.8%,,,
    25 to 29 years,6.8%,7.0%,6.7%,6.5%,6.6%,6.4%,7.5%,7.6%,7.4%,7.1%,7.3%,6.8%,6.7%,6.7%,6.6%,7.4%,7.6%,7.2%,7.4%,7.5%,7.2%,5.9%,6.1%,5.7%,6.5%,6.6%,6.4%,11.1%,10.9%,11.3%,6.3%,6.5%,6.1%,7.0%,7.0%,7.0%,7.2%,7.5%,7.0%,6.8%,6.9%,6.7%,7.1%,7.2%,6.9%,6.5%,6.7%,6.4%,6.4%,6.6%,6.2%,6.8%,7.0%,6.7%,6.6%,6.7%,6.5%,7.2%,7.4%,7.1%,5.5%,5.5%,5.4%,6.8%,6.9%,6.7%,6.7%,6.8%,6.5%,6.0%,6.1%,5.9%,7.0%,7.1%,6.8%,6.7%,6.7%,6.6%,6.7%,6.8%,6.6%,6.3%,6.6%,6.1%,6.9%,7.1%,6.7%,7.4%,7.4%,7.3%,5.5%,5.6%,5.3%,6.3%,6.5%,6.1%,6.8%,7.0%,6.5%,7.1%,7.2%,7.0%,6.5%,6.6%,6.5%,7.0%,7.4%,6.5%,6.4%,6.5%,6.2%,7.0%,7.2%,6.8%,6.9%,7.0%,6.8%,6.1%,6.3%,6.0%,6.3%,6.5%,6.1%,6.6%,6.7%,6.5%,6.7%,7.0%,6.4%,6.7%,6.8%,6.6%,7.4%,7.5%,7.2%,8.3%,8.5%,8.2%,5.5%,5.6%,5.5%,6.9%,7.1%,6.8%,7.2%,7.3%,7.0%,5.9%,6.0%,5.8%,6.4%,6.6%,6.3%,7.2%,7.3%,7.1%,,,,,,,,,,6.7%,6.8%,6.6%,,,
    30 to 34 years,6.4%,6.6%,6.3%,6.2%,6.2%,6.1%,6.5%,6.5%,6.6%,6.5%,6.7%,6.3%,6.2%,6.4%,6.0%,6.9%,7.0%,6.7%,7.1%,7.3%,6.8%,5.8%,5.9%,5.7%,5.9%,6.0%,5.9%,9.0%,9.2%,8.8%,5.9%,6.0%,5.8%,6.8%,6.9%,6.8%,6.4%,6.5%,6.2%,6.5%,6.6%,6.3%,6.7%,6.9%,6.6%,6.3%,6.4%,6.1%,6.0%,6.2%,5.8%,6.2%,6.4%,6.1%,6.4%,6.6%,6.3%,6.3%,6.4%,6.2%,5.4%,5.4%,5.4%,6.3%,6.3%,6.3%,6.2%,6.3%,6.1%,5.8%,5.9%,5.8%,6.4%,6.6%,6.3%,6.2%,6.3%,6.2%,6.2%,6.3%,6.0%,5.9%,6.0%,5.7%,6.3%,6.5%,6.2%,7.0%,7.1%,6.9%,5.5%,5.5%,5.4%,6.3%,6.5%,6.2%,6.1%,6.2%,5.9%,6.6%,6.7%,6.5%,6.6%,6.7%,6.5%,6.0%,6.3%,5.8%,5.9%,6.1%,5.8%,6.3%,6.5%,6.1%,6.7%,6.9%,6.5%,5.7%,5.8%,5.6%,5.8%,5.9%,5.7%,6.2%,6.3%,6.1%,5.9%,6.0%,5.8%,6.4%,6.5%,6.3%,7.0%,7.1%,6.9%,7.7%,7.9%,7.5%,5.5%,5.5%,5.4%,6.6%,6.6%,6.5%,6.7%,6.8%,6.5%,6.0%,6.2%,5.8%,6.1%,6.3%,6.0%,6.3%,6.3%,6.2%,,,,,,,,,,6.6%,6.6%,6.5%,,,
    35 to 39 years,6.6%,6.7%,6.6%,6.5%,6.5%,6.4%,6.5%,6.4%,6.6%,6.6%,6.7%,6.5%,6.3%,6.3%,6.3%,7.0%,7.1%,7.0%,7.1%,7.3%,6.9%,6.5%,6.4%,6.5%,6.4%,6.4%,6.3%,7.4%,7.6%,7.1%,6.3%,6.4%,6.2%,7.3%,7.3%,7.3%,6.4%,6.5%,6.3%,6.1%,6.2%,6.1%,6.7%,6.9%,6.6%,6.4%,6.6%,6.3%,5.9%,6.0%,5.8%,6.2%,6.2%,6.1%,6.6%,6.8%,6.5%,6.2%,6.4%,6.1%,6.2%,6.3%,6.1%,6.7%,6.7%,6.8%,6.5%,6.6%,6.5%,6.4%,6.4%,6.3%,6.3%,6.4%,6.2%,6.3%,6.3%,6.2%,6.3%,6.4%,6.2%,5.6%,5.7%,5.5%,6.0%,6.1%,6.0%,7.3%,7.4%,7.2%,6.4%,6.3%,6.6%,6.9%,7.0%,6.9%,6.1%,6.2%,6.0%,6.6%,6.7%,6.5%,7.0%,7.0%,6.9%,5.5%,5.6%,5.3%,6.3%,6.4%,6.3%,6.3%,6.4%,6.2%,6.6%,6.7%,6.5%,6.2%,6.4%,6.1%,6.3%,6.5%,6.2%,6.5%,6.6%,6.4%,5.6%,5.8%,5.4%,6.8%,6.9%,6.6%,7.1%,7.1%,7.1%,6.4%,6.4%,6.4%,5.8%,5.9%,5.7%,6.8%,6.9%,6.8%,6.8%,6.9%,6.7%,6.3%,6.5%,6.1%,6.2%,6.3%,6.1%,6.0%,6.2%,5.7%,,,,,,,,,,6.3%,6.4%,6.3%,,,
