"Label (Grouping)","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Female!!Estimate","Alabama!!Total!!Estimate","Alabama!!Male!!Estimate","Alabama!!Female!!Estimate","Alaska!!Total!!Estimate","Alaska!!Male!!Estimate","Alaska!!Female!!Estimate","Arizona!!Total!!Estimate","Arizona!!Male!!Estimate","Arizona!!Female!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Male!!Estimate","Arkansas!!Female!!Estimate","California!!Total!!Estimate","California!!Male!!Estimate","California!!Female!!Estimate","Colorado!!Total!!Estimate","Colorado!!Male!!Estimate","Colorado!!Female!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Male!!Estimate","Connecticut!!Female!!Estimate","Delaware!!Total!!Estimate","Delaware!!Male!!Estimate","Delaware!!Female!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Male!!Estimate","District of Columbia!!Female!!Estimate","Florida!!Total!!Estimate","Florida!!Male!!Estimate","Florida!!Female!!Estimate","Georgia!!Total!!Estimate","Georgia!!Male!!Estimate","Georgia!!Female!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Male!!Estimate","Hawaii!!Female!!Estimate","Idaho!!Total!!Estimate","Idaho!!Male!!Estimate","Idaho!!Female!!Estimate","Illinois!!Total!!Estimate","Illinois!!Male!!Estimate","Illinois!!Female!!Estimate","Indiana!!Total!!Estimate","Indiana!!Male!!Estimate","Indiana!!Female!!Estimate","Iowa!!Total!!Estimate","Iowa!!Male!!Estimate","Iowa!!Female!!Estimate","Kansas!!Total!!Estimate","Kansas!!Male!!Estimate","Kansas!!Female!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Male!!Estimate","Kentucky!!Female!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Male!!Estimate","Louisiana!!Female!!Estimate","Maine!!Total!!Estimate","Maine!!Male!!Estimate","Maine!!Female!!Estimate","Maryland!!Total!!Estimate","Maryland!!Male!!Estimate","Maryland!!Female!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Male!!Estimate","Massachusetts!!Female!!Estimate","Michigan!!Total!!Estimate","Michigan!!Male!!Estimate","Michigan!!Female!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Male!!Estimate","Minnesota!!Female!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Male!!Estimate","Mississippi!!Female!!Estimate","Missouri!!Total!!Estimate","Missouri!!Male!!Estimate","Missouri!!Female!!Estimate","Montana!!Total!!Estimate","Montana!!Male!!Estimate","Montana!!Female!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Male!!Estimate","Nebraska!!Female!!Estimate","Nevada!!Total!!Estimate","Nevada!!Male!!Estimate","Nevada!!Female!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Male!!Estimate","New Hampshire!!Female!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Male!!Estimate","New Jersey!!Female!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Male!!Estimate","New Mexico!!Female!!Estimate","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Male!!Estimate","North Carolina!!Female!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Male!!Estimate","North Dakota!!Female!!Estimate","Ohio!!Total!!Estimate","Ohio!!Male!!Estimate","Ohio!!Female!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Male!!Estimate","Oklahoma!!Female!!Estimate","Oregon!!Total!!Estimate","Oregon!!Male!!Estimate","Oregon!!Female!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Male!!Estimate","Pennsylvania!!Female!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Male!!Estimate","Rhode Island!!Female!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Male!!Estimate","South Carolina!!Female!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Male!!Estimate","South Dakota!!Female!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Male!!Estimate","Tennessee!!Female!!Estimate","Texas!!Total!!Estimate","Texas!!Male!!Estimate","Texas!!Female!!Estimate","Utah!!Total!!Estimate","Utah!!Male!!Estimate","Utah!!Female!!Estimate","Vermont!!Total!!Estimate","Vermont!!Male!!Estimate","Vermont!!Female!!Estimate","Virginia!!Total!!Estimate","Virginia!!Male!!Estimate","Virginia!!Female!!Estimate","Washington!!Total!!Estimate","Washington!!Male!!Estimate","Washington!!Female!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Male!!Estimate","West Virginia!!Female!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Male!!Estimate","Wisconsin!!Female!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Male!!Estimate","Wyoming!!Female!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Female!!Estimate"
"Total population","309,138,711","152,018,799","157,119,912","4,777,326","2,317,520","2,459,806","711,139","370,127","341,012","6,410,979","3,187,926","3,223,053","2,916,372","1,431,252","1,485,120","37,325,068","18,561,020","18,764,048","5,042,853","2,529,614","2,513,239","3,572,213","1,739,522","1,832,691","900,131","436,338","463,793","605,759","286,427","319,332","18,885,152","9,232,292","9,652,860","9,714,569","4,747,484","4,967,085","1,362,730","683,498","679,232","1,567,803","785,954","781,849","12,823,860","6,291,373","6,532,487","6,485,530","3,192,018","3,293,512","3,047,646","1,507,335","1,540,311","2,851,183","1,414,881","1,436,302","4,340,167","2,134,355","2,205,812","4,529,605","2,215,673","2,313,932","1,329,084","650,219","678,865","5,785,496","2,798,875","2,986,621","6,560,595","3,174,988","3,385,607","9,897,264","4,855,361","5,041,903","5,313,081","2,638,499","2,674,582","2,967,620","1,439,787","1,527,833","5,982,413","2,929,988","3,052,425","990,785","497,141","493,644","1,827,306","906,143","921,163","2,704,204","1,365,496","1,338,708","1,317,474","650,048","667,426","8,793,888","4,283,189","4,510,699","2,055,287","1,015,710","1,039,577","19,398,125","9,391,875","10,006,250","9,544,249","4,649,769","4,894,480","676,253","342,030","334,223","11,533,561","5,630,373","5,903,188","3,749,005","1,855,637","1,893,368","3,836,628","1,899,186","1,937,442","12,699,589","6,190,405","6,509,184","1,052,471","508,521","543,950","4,630,351","2,251,898","2,378,453","815,871","409,334","406,537","6,353,226","3,097,568","3,255,658","25,208,897","12,509,812","12,699,085","2,766,233","1,389,986","1,376,247","625,498","308,429","317,069","8,014,955","3,933,820","4,081,135","6,738,714","3,360,046","3,378,668","1,850,481","911,142","939,339","5,687,219","2,822,271","2,864,948","562,803","286,644","276,159","3,716,727","1,780,705","1,936,022"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","6.5%","6.8%","6.3%","6.4%","6.7%","6.1%","7.5%","7.5%","7.5%","7.1%","7.3%","6.9%","6.7%","7.0%","6.5%","6.8%","7.0%","6.6%","6.8%","6.9%","6.6%","5.6%","5.9%","5.3%","6.2%","6.5%","5.9%","5.7%","6.2%","5.3%","5.7%","6.0%","5.5%","7.1%","7.4%","6.8%","6.5%","6.6%","6.3%","7.6%","7.8%","7.5%","6.5%","6.8%","6.2%","6.6%","6.9%","6.4%","6.5%","6.7%","6.3%","7.1%","7.3%","6.9%","6.5%","6.7%","6.2%","6.9%","7.2%","6.6%","5.2%","5.4%","4.9%","6.3%","6.7%","6.0%","5.6%","5.9%","5.3%","6.0%","6.3%","5.8%","6.6%","6.8%","6.4%","7.0%","7.4%","6.7%","6.4%","6.7%","6.2%","6.1%","6.3%","6.0%","7.2%","7.4%","6.9%","6.9%","7.0%","6.8%","5.3%","5.5%","5.1%","6.1%","6.4%","5.8%","7.0%","7.3%","6.7%","6.0%","6.3%","5.7%","6.6%","6.9%","6.3%","6.5%","6.6%","6.4%","6.2%","6.5%","5.9%","7.0%","7.2%","6.8%","6.1%","6.3%","5.9%","5.7%","6.0%","5.4%","5.4%","5.7%","5.1%","6.5%","6.8%","6.2%","7.1%","7.3%","6.9%","6.4%","6.7%","6.1%","7.7%","7.9%","7.4%","9.4%","9.6%","9.2%","5.1%","5.3%","4.8%","6.3%","6.6%","6.1%","6.5%","6.7%","6.3%","5.6%","5.8%","5.4%","6.2%","6.4%","6.1%","7.0%","7.0%","7.0%","6.0%","6.4%","5.6%"
"    5 to 9 years","6.6%","6.8%","6.3%","6.5%","6.8%","6.2%","7.1%","6.9%","7.2%","7.0%","7.1%","6.9%","6.8%","7.1%","6.5%","6.7%","6.9%","6.5%","6.9%","7.0%","6.8%","6.2%","6.5%","5.9%","6.4%","6.7%","6.1%","4.4%","4.7%","4.2%","5.7%","5.9%","5.5%","7.2%","7.5%","6.9%","5.9%","6.2%","5.6%","7.6%","7.7%","7.5%","6.7%","6.9%","6.5%","6.8%","7.1%","6.6%","6.6%","6.7%","6.5%","7.1%","7.3%","6.8%","6.5%","6.7%","6.3%","6.8%","7.0%","6.5%","5.6%","5.9%","5.3%","6.3%","6.6%","6.0%","5.9%","6.2%","5.6%","6.4%","6.7%","6.1%","6.7%","6.9%","6.5%","7.0%","7.4%","6.6%","6.5%","6.8%","6.2%","6.3%","6.4%","6.2%","7.0%","7.2%","6.8%","6.9%","7.0%","6.8%","5.8%","5.9%","5.8%","6.4%","6.7%","6.2%","6.9%","7.1%","6.7%","6.0%","6.3%","5.7%","6.6%","7.0%","6.3%","6.1%","6.2%","6.1%","6.5%","6.8%","6.2%","6.9%","7.2%","6.6%","6.2%","6.5%","6.0%","6.0%","6.2%","5.7%","5.7%","6.1%","5.3%","6.4%","6.7%","6.1%","6.7%","6.8%","6.6%","6.5%","6.7%","6.2%","7.6%","7.8%","7.4%","8.9%","9.2%","8.7%","5.5%","5.8%","5.3%","6.3%","6.6%","6.1%","6.4%","6.5%","6.2%","5.6%","5.8%","5.4%","6.4%","6.6%","6.3%","6.6%","6.6%","6.7%","6.3%","6.9%","5.8%"
"    10 to 14 years","6.7%","7.0%","6.4%","6.7%","7.0%","6.3%","7.2%","7.2%","7.2%","7.0%","7.3%","6.8%","6.7%","7.0%","6.4%","6.9%","7.1%","6.7%","6.6%","6.7%","6.4%","6.7%","7.1%","6.3%","6.2%","6.5%","5.9%","4.2%","4.5%","3.9%","6.0%","6.3%","5.7%","7.1%","7.3%","6.8%","6.1%","6.1%","6.1%","7.5%","7.8%","7.3%","6.8%","7.1%","6.5%","7.0%","7.3%","6.7%","6.6%","6.9%","6.3%","7.0%","7.2%","6.7%","6.6%","7.0%","6.3%","6.8%","7.1%","6.4%","5.9%","6.2%","5.7%","6.6%","6.9%","6.2%","6.1%","6.5%","5.8%","6.8%","7.1%","6.6%","6.7%","6.9%","6.4%","7.0%","7.4%","6.7%","6.6%","6.9%","6.3%","6.1%","6.3%","6.0%","6.8%","7.0%","6.6%","6.6%","6.7%","6.5%","6.4%","6.9%","6.0%","6.7%","7.0%","6.3%","6.9%","7.0%","6.7%","6.2%","6.6%","5.9%","6.7%","7.0%","6.4%","5.8%","5.9%","5.7%","6.7%","7.0%","6.4%","6.8%","7.0%","6.5%","6.3%","6.5%","6.1%","6.2%","6.5%","5.9%","6.2%","6.5%","5.9%","6.4%","6.7%","6.2%","6.7%","7.0%","6.5%","6.6%","7.0%","6.3%","7.4%","7.7%","7.2%","8.3%","8.4%","8.2%","6.0%","6.3%","5.7%","6.4%","6.7%","6.2%","6.5%","6.7%","6.3%","6.0%","6.2%","5.8%","6.6%","6.8%","6.4%","6.4%","6.6%","6.2%","7.3%","7.7%","7.0%"
"    15 to 19 years","7.1%","7.4%","6.8%","7.1%","7.5%","6.7%","7.3%","7.4%","7.2%","7.1%","7.4%","6.8%","7.0%","7.3%","6.7%","7.5%","7.7%","7.2%","6.8%","7.0%","6.5%","7.1%","7.5%","6.8%","7.1%","7.4%","6.8%","6.9%","6.8%","7.0%","6.4%","6.8%","6.1%","7.3%","7.7%","7.0%","6.2%","6.5%","6.0%","7.3%","7.5%","7.1%","7.2%","7.5%","6.8%","7.3%","7.6%","7.0%","7.1%","7.4%","6.9%","7.1%","7.4%","6.9%","6.8%","7.1%","6.5%","7.1%","7.4%","6.8%","6.7%","7.0%","6.3%","7.0%","7.4%","6.6%","7.1%","7.4%","6.8%","7.4%","7.8%","7.1%","7.0%","7.2%","6.7%","7.5%","7.8%","7.2%","7.0%","7.4%","6.7%","6.8%","7.0%","6.5%","7.1%","7.3%","6.9%","6.6%","6.8%","6.5%","7.2%","7.3%","7.0%","6.8%","7.2%","6.4%","7.2%","7.5%","7.0%","7.0%","7.4%","6.6%","6.9%","7.3%","6.5%","7.1%","7.4%","6.8%","7.1%","7.4%","6.8%","7.0%","7.3%","6.7%","6.6%","6.8%","6.3%","7.1%","7.5%","6.8%","7.6%","7.8%","7.3%","7.0%","7.4%","6.7%","7.2%","7.3%","7.1%","6.8%","7.1%","6.5%","7.5%","7.7%","7.2%","7.9%","8.0%","7.9%","7.4%","7.7%","7.1%","6.9%","7.2%","6.6%","6.8%","7.0%","6.6%","6.5%","6.7%","6.2%","7.0%","7.3%","6.8%","6.8%","7.1%","6.5%","7.6%","8.1%","7.1%"
"    20 to 24 years","7.0%","7.3%","6.8%","7.1%","7.3%","6.9%","7.9%","8.4%","7.5%","7.0%","7.3%","6.7%","6.9%","7.1%","6.7%","7.5%","7.8%","7.1%","7.0%","7.3%","6.7%","6.3%","6.7%","6.0%","7.1%","7.4%","6.8%","9.8%","9.5%","10.1%","6.6%","6.9%","6.4%","7.1%","7.4%","6.8%","7.2%","7.8%","6.5%","7.0%","7.2%","6.9%","6.9%","7.1%","6.6%","7.0%","7.2%","6.9%","7.1%","7.3%","6.8%","7.2%","7.6%","6.9%","6.8%","7.0%","6.6%","7.5%","7.7%","7.4%","6.0%","6.2%","5.8%","6.8%","7.2%","6.5%","7.2%","7.4%","7.0%","6.9%","7.1%","6.6%","6.7%","6.9%","6.5%","7.3%","7.5%","7.0%","7.0%","7.2%","6.8%","6.9%","7.2%","6.7%","7.1%","7.4%","6.9%","6.7%","6.8%","6.6%","6.4%","6.6%","6.2%","6.1%","6.5%","5.8%","7.0%","7.4%","6.7%","7.3%","7.6%","7.0%","7.0%","7.3%","6.7%","9.0%","9.5%","8.5%","6.6%","6.9%","6.4%","7.3%","7.6%","7.0%","6.7%","6.9%","6.5%","6.8%","7.1%","6.6%","7.8%","8.1%","7.5%","7.2%","7.6%","6.9%","7.1%","7.4%","6.8%","6.8%","6.9%","6.7%","7.3%","7.6%","7.0%","8.4%","8.4%","8.3%","7.1%","7.4%","6.7%","7.2%","7.5%","6.8%","7.0%","7.3%","6.7%","6.5%","6.7%","6.2%","6.8%","7.0%","6.7%","7.2%","7.4%","7.0%","7.1%","7.5%","6.8%"
"    25 to 29 years","6.8%","7.0%","6.7%","6.5%","6.6%","6.4%","7.7%","7.8%","7.6%","6.9%","7.1%","6.7%","6.6%","6.7%","6.5%","7.4%","7.6%","7.1%","7.4%","7.6%","7.2%","6.0%","6.2%","5.8%","6.4%","6.6%","6.3%","11.4%","11.1%","11.7%","6.3%","6.5%","6.1%","6.9%","7.0%","6.9%","7.3%","7.6%","7.0%","6.8%","6.9%","6.7%","7.1%","7.2%","6.9%","6.5%","6.6%","6.3%","6.4%","6.7%","6.2%","6.9%","7.1%","6.7%","6.5%","6.6%","6.4%","7.3%","7.4%","7.2%","5.5%","5.6%","5.4%","6.8%","7.0%","6.7%","6.8%","6.9%","6.6%","6.0%","6.1%","5.9%","7.0%","7.1%","6.8%","6.6%","6.7%","6.5%","6.7%","6.8%","6.6%","6.3%","6.5%","6.2%","6.9%","7.1%","6.7%","7.3%","7.4%","7.2%","5.6%","5.7%","5.4%","6.3%","6.5%","6.1%","6.8%","7.1%","6.6%","7.1%","7.3%","7.0%","6.5%","6.6%","6.4%","7.2%","7.6%","6.8%","6.3%","6.4%","6.2%","7.0%","7.2%","6.8%","6.9%","7.0%","6.7%","6.2%","6.4%","6.0%","6.3%","6.6%","6.0%","6.6%","6.7%","6.4%","6.8%","7.0%","6.5%","6.6%","6.7%","6.5%","7.3%","7.5%","7.2%","8.2%","8.3%","8.0%","5.6%","5.7%","5.5%","7.0%","7.2%","6.8%","7.2%","7.4%","7.0%","5.8%","5.9%","5.7%","6.5%","6.6%","6.3%","7.2%","7.4%","7.1%","6.6%","6.7%","6.5%"
"    30 to 34 years","6.5%","6.6%","6.4%","6.2%","6.3%","6.2%","6.7%","6.7%","6.7%","6.5%","6.7%","6.4%","6.3%","6.4%","6.1%","6.9%","7.1%","6.8%","7.1%","7.3%","6.9%","5.8%","5.9%","5.7%","6.0%","6.1%","5.9%","9.3%","9.5%","9.1%","5.9%","6.1%","5.8%","6.8%","6.8%","6.8%","6.5%","6.7%","6.4%","6.5%","6.6%","6.4%","6.8%","6.9%","6.6%","6.3%","6.5%","6.2%","6.1%","6.3%","6.0%","6.3%","6.5%","6.2%","6.5%","6.6%","6.3%","6.5%","6.6%","6.3%","5.4%","5.5%","5.4%","6.4%","6.5%","6.4%","6.2%","6.3%","6.1%","5.9%","5.9%","5.8%","6.5%","6.7%","6.4%","6.3%","6.4%","6.2%","6.3%","6.4%","6.1%","5.9%","6.1%","5.8%","6.4%","6.6%","6.3%","7.1%","7.2%","6.9%","5.5%","5.5%","5.4%","6.4%","6.5%","6.2%","6.2%","6.4%","6.0%","6.6%","6.7%","6.5%","6.5%","6.6%","6.5%","6.2%","6.5%","6.0%","6.0%","6.2%","5.9%","6.4%","6.6%","6.2%","6.8%","7.0%","6.6%","5.8%","5.9%","5.6%","5.9%","6.0%","5.8%","6.2%","6.3%","6.1%","6.1%","6.2%","5.9%","6.4%","6.5%","6.3%","7.0%","7.1%","6.9%","7.8%","8.0%","7.6%","5.5%","5.5%","5.5%","6.6%","6.7%","6.5%","6.8%","6.9%","6.6%","6.0%","6.2%","5.9%","6.2%","6.3%","6.0%","6.4%","6.6%","6.3%","6.6%","6.6%","6.6%"
"    35 to 39 years","6.5%","6.6%","6.4%","6.3%","6.3%","6.4%","6.3%","6.1%","6.5%","6.4%","6.5%","6.3%","6.2%","6.3%","6.2%","6.9%","7.0%","6.8%","7.0%","7.1%","6.8%","6.2%","6.2%","6.3%","6.2%","6.2%","6.2%","7.3%","7.5%","7.1%","6.2%","6.3%","6.1%","7.1%","7.1%","7.1%","6.3%","6.4%","6.2%","6.2%","6.3%","6.0%","6.6%","6.8%","6.5%","6.3%","6.5%","6.2%","5.8%","5.9%","5.7%","6.0%","6.1%","5.9%","6.5%","6.6%","6.4%","6.1%","6.3%","6.0%","6.0%","6.0%","6.0%","6.5%","6.5%","6.6%","6.3%","6.3%","6.2%","6.2%","6.2%","6.1%","6.1%","6.3%","6.0%","6.2%","6.2%","6.2%","6.1%","6.2%","6.0%","5.6%","5.7%","5.5%","6.0%","6.1%","5.9%","7.1%","7.2%","6.9%","6.2%","6.0%","6.3%","6.7%","6.8%","6.7%","6.1%","6.1%","6.0%","6.5%","6.6%","6.4%","6.8%","6.9%","6.8%","5.3%","5.5%","5.2%","6.2%","6.2%","6.1%","6.3%","6.3%","6.2%","6.5%","6.6%","6.4%","6.0%","6.1%","5.9%","6.1%","6.2%","6.0%","6.4%","6.5%","6.2%","5.6%","5.8%","5.4%","6.6%","6.7%","6.5%","7.0%","7.0%","7.0%","6.5%","6.5%","6.5%","5.5%","5.6%","5.4%","6.7%","6.7%","6.7%","6.6%","6.7%","6.5%","6.1%","6.3%","6.0%","6.1%","6.2%","5.9%","6.0%","6.1%","5.8%","6.3%","6.4%","6.3%"
